,Player,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s
33,Yuvraj Singh (Asia/INDIA),2000-2017,304,278,40,8701,150,36.55,9924,87.67,14,52,18,908,155
34,KS Williamson (NZ),2010-2020,151,144,14,6173,148,47.48,7551,81.75,13,39,5,563,49
35,G Kirsten (SA),1993-2003,185,185,19,6798,188*,40.95,9436,72.04,13,45,11,659,20
36,ME Trescothick (ENG),2000-2006,123,122,6,4335,137,37.37,5087,85.21,12,21,13,528,41
37,PR Stirling (IRE),2008-2021,134,131,3,4982,177,38.92,5787,86.08,12,26,10,533,112
38,F du Plessis (SA),2011-2019,143,136,20,5507,185,47.47,6215,88.6,12,35,3,495,66
39,R Dravid (Asia/ICC/INDIA),1996-2011,344,318,40,10889,153,39.16,15285,71.23,12,83,13,950,42
40,JM Bairstow (ENG),2011-2021,89,81,8,3498,141*,47.91,3331,105.01,11,14,6,391,89
41,SPD Smith (AUS),2010-2020,128,113,12,4378,164,43.34,4947,88.49,11,25,5,377,42
42,CG Greenidge (WI),1975-1991,128,127,13,5134,133*,45.03,7908,64.92,11,31,3,470+,81+
43,WTS Porterfield (IRE),2006-2021,145,142,3,4317,139,31.05,6259,68.97,11,20,10,452,31
44,G Gambhir (INDIA),2003-2013,147,143,11,5238,150*,39.68,6144,85.25,11,34,11,561,17
45,IVA Richards (WI),1975-1991,187,167,24,6721,189*,47.0,7451,90.2,11,45,7,600+,126+
46,BRM Taylor (ZIM),2004-2021,205,203,15,6684,145*,35.55,8721,76.64,11,39,15,599,106
47,Mohammad Hafeez (PAK),2003-2019,218,216,15,6614,140*,32.9,8633,76.61,11,38,19,664,110
48,S Chanderpaul (WI),1994-2011,268,251,40,8778,150,41.6,12408,70.74,11,59,6,722,85
49,MS Atapattu (SL),1990-2007,268,259,32,8529,132*,37.57,12594,67.72,11,59,13,734,15
50,PA de Silva (SL),1984-2003,308,296,30,9284,145,34.9,11443,81.13,11,64,17,712+,102+
51,SD Hope (WI),2016-2021,83,78,10,3599,170,52.92,4813,74.77,10,19,4,283,52
52,ML Hayden (AUS/ICC),1993-2008,161,155,15,6133,181*,43.8,7767,78.96,10,36,9,636,87
53,GC Smith (Afr/SA),2002-2013,197,194,10,6989,141,37.98,8648,80.81,10,47,8,788,44
54,MN Samuels (WI),2000-2018,207,196,26,5606,133*,32.97,7463,75.11,10,30,11,526,118
55,Ijaz Ahmed (PAK),1986-2000,250,232,29,6564,139*,32.33,8174,80.3,10,37,14,531+,87+
56,MS Dhoni (Asia/INDIA),2004-2019,350,297,84,10773,183*,50.57,12303,87.56,10,73,10,826,229
57,Inzamam-ul-Haq (Asia/PAK),1991-2007,378,350,53,11739,137*,39.52,15812,74.24,10,83,20,971,144
58,JJ Roy (ENG),2015-2021,98,93,2,3658,180,40.19,3410,107.27,9,20,9,428,73
59,GR Marsh (AUS),1986-1992,117,115,6,4357,126*,39.97,7790,55.93,9,22,4,302,22
60,JC Buttler (ENG),2012-2021,148,123,23,3872,150,38.72,3263,118.66,9,20,13,323,125
61,KP Pietersen (ENG/ICC),2004-2013,136,125,16,4440,130,40.73,5128,86.58,9,25,7,427,77
62,SR Watson (AUS),2002-2015,190,169,27,5757,185*,40.54,6365,90.44,9,33,12,570,131
63,Ramiz Raja (PAK),1985-1997,198,197,15,5841,119*,32.09,9226,63.31,9,31,15,469+,14+
64,Shakib Al Hasan (BAN),2006-2021,215,203,29,6600,134*,37.93,8035,82.14,9,49,11,596,43
65,Shoaib Malik (PAK),1999-2019,287,258,40,7534,143,34.55,9199,81.9,9,44,15,603,113
66,CS MacLeod (SCOT),2008-2021,72,70,6,2290,175,35.78,2863,79.98,8,8,9,234,25
67,Salman Butt (PAK),2004-2010,78,78,4,2725,136,36.82,3572,76.28,8,14,15,343,7
68,GA Gooch (ENG),1976-1995,125,122,6,4290,142,36.98,6932,61.88,8,23,4,407+,15
69,Mushfiqur Rahim (BAN),2006-2021,227,213,36,6581,144,37.18,8325,79.05,8,40,10,517,85
70,Javed Miandad (PAK),1975-1996,233,218,41,7381,119*,41.7,11014,67.01,8,50,8,445+,44+
71,MJ Clarke (AUS),2003-2015,245,223,44,7981,130,44.58,10104,78.98,8,58,10,665,53
72,SP Fleming (ICC/NZ),1994-2007,280,269,21,8037,134*,32.4,11242,71.49,8,49,17,823,63
73,Imam-ul-Haq (PAK),2017-2021,46,46,5,2023,151,49.34,2519,80.3,7,10,3,161,16
74,Zaheer Abbas (PAK),1974-1985,62,60,6,2572,123,47.62,3033,84.8,7,13,2,213+,22+
75,SE Marsh (AUS),2008-2019,73,72,4,2773,151,40.77,3406,81.41,7,15,3,247,36
76,A Balbirnie (IRE),2010-2021,84,81,5,2462,145*,32.39,3262,75.47,7,12,4,236,30
77,DI Gower (ENG),1978-1991,114,111,8,3170,158,30.77,4218,75.15,7,12,6,290,22
78,DM Jones (AUS),1984-1994,164,161,25,6068,145,44.61,8362,72.56,7,46,6,380+,64+
79,ADR Campbell (ZIM),1992-2003,188,184,14,5185,131*,30.5,7834,66.18,7,30,11,427+,44+
80,CL Hooper (WI),1987-2003,227,206,43,5761,113*,35.34,7517,76.63,7,29,7,409,65
81,Younis Khan (PAK),2000-2015,265,255,23,7249,144,31.24,9628,75.29,7,48,22,578,56
82,M Azharuddin (INDIA),1985-2000,334,308,54,9378,153*,36.92,12669,74.02,7,58,9,622+,77+
83,Fakhar Zaman (PAK),2017-2021,53,53,4,2325,210*,47.44,2455,94.7,6,13,5,263,45
84,AD Hales (ENG),2014-2019,70,67,3,2419,171,37.79,2527,95.72,6,14,5,276,50
85,EC Joyce (ENG/IRE),2006-2018,78,77,8,2622,160*,38.0,3630,72.23,6,15,5,255,25
86,Ahmed Shehzad (PAK),2009-2017,81,81,1,2605,124,32.56,3614,72.08,6,14,7,269,18
87,VVS Laxman (INDIA),1998-2006,86,83,7,2338,131,30.76,3282,71.23,6,10,3,222,4
88,Mohammad Shahzad (AFG),2009-2019,84,84,3,2727,131*,33.66,3082,88.48,6,14,4,323,55
89,MDKJ Perera (SL),2013-2021,107,102,5,3071,135,31.65,3328,92.27,6,15,10,333,50
90,AJ Strauss (ENG),2003-2011,127,126,8,4205,158,35.63,5195,80.94,6,27,9,454,25
91,NS Sidhu (INDIA),1987-1998,136,127,8,4413,134*,37.08,6329,69.72,6,33,7,335,44
92,A Symonds (AUS),1998-2009,198,161,33,5088,156,39.75,5504,92.44,6,30,15,449,103
93,A Jadeja (INDIA),1992-2000,196,179,36,5359,119,37.47,7678,69.79,6,30,10,366,85
94,MG Bevan (AUS),1994-2004,232,196,67,6912,108*,53.58,9320,74.16,6,46,5,450,21
95,GW Flower (ZIM),1992-2010,221,214,18,6571,142*,33.52,9723,67.58,6,40,18,557+,37+
96,Shahid Afridi (Asia/ICC/PAK),1996-2015,398,369,27,8064,124,23.57,6892,117.0,6,39,30,730,351
97,RN ten Doeschate (NED),2006-2011,33,32,9,1541,119,67.0,1757,87.7,5,9,1,130,29
98,KL Rahul (INDIA),2016-2021,38,37,6,1509,112,48.67,1690,89.28,5,9,2,114,36
99,SO Hetmyer (WI),2017-2021,47,44,3,1447,139,35.29,1360,106.39,5,4,2,111,52
100,Rahmat Shah (AFG),2013-2021,76,72,3,2467,114,35.75,3493,70.62,5,16,3,215,28
101,AN Cook (ENG),2006-2014,92,92,4,3204,137,36.4,4154,77.13,5,19,7,363,10
102,TWM Latham (NZ),2012-2021,102,94,11,2824,137,34.02,3373,83.72,5,16,7,239,36
103,NV Knight (ENG),1996-2003,100,100,10,3637,125*,40.41,5085,71.52,5,25,6,327,21
104,WW Hinds (WI),1999-2010,119,111,10,2880,127*,28.51,4393,65.55,5,14,8,261,50
105,GA Hick (ENG),1991-2001,120,118,15,3846,126*,37.33,5191,74.08,5,27,10,278,41
106,DA Miller (SA),2010-2021,137,118,35,3367,139,40.56,3339,100.83,5,16,8,247,92
107,Kamran Akmal (PAK),2002-2017,157,138,14,3236,124,26.09,3855,83.94,5,10,10,378,37
108,PV Simmons (WI),1987-1999,143,138,11,3675,122,28.93,5407,67.96,5,18,14,376+,44+
109,Aamer Sohail (PAK),1990-2000,156,155,5,4780,134,31.86,7297,65.5,5,31,10,467+,20+
110,RR Sarwan (WI),2000-2013,181,169,33,5804,120*,42.67,7663,75.74,5,38,8,480,58
111,DC Boon (AUS),1984-1995,181,177,16,5964,122,37.04,9157,65.13,5,37,6,494,16
112,PD Collingwood (ENG),2001-2011,197,181,37,5092,120*,35.36,6614,76.98,5,26,7,365,74
113,DR Martyn (AUS),1992-2006,208,182,51,5346,144*,40.8,6877,77.73,5,37,10,441,22
114,SK Raina (INDIA),2005-2018,226,194,35,5615,116*,35.31,6005,93.5,5,36,14,476,120
115,H Masakadza (ZIM),2001-2019,209,208,4,5658,178*,27.73,7728,73.21,5,34,15,585,86
116,RB Richardson (WI),1983-1996,224,217,30,6248,122,33.41,9801,63.74,5,44,8,541+,54+
117,BB McCullum (NZ),2002-2016,260,228,28,6083,166,30.41,6312,96.37,5,32,20,577,200
118,Saleem Malik (PAK),1982-1999,283,256,38,7170,102,32.88,9383,76.41,5,47,19,514+,34+
