,Series/Tournament,Season,Unnamed: 2,Winner,Margin
139,South Africa in Australia Test Series,1963/64,,drawn,1-1 (5)
140,England in India Test Series,1963/64,,drawn,0-0 (5)
141,South Africa in New Zealand Test Series,1963/64,,drawn,0-0 (3)
142,The Ashes (Australia in England),1964,,Australia,1-0 (5)
143,Australia in India Test Series,1964/65,,drawn,1-1 (3)
144,Australia in Pakistan Test Match,1964/65,,drawn,0-0 (1)
145,Pakistan in Australia Test Match,1964/65,,drawn,0-0 (1)
146,Pakistan in New Zealand Test Series,1964/65,,drawn,0-0 (3)
147,England in South Africa Test Series,1964/65,,England,1-0 (5)
148,New Zealand in India Test Series,1964/65,,India,1-0 (4)
149,New Zealand in Pakistan Test Series,1964/65,,Pakistan,2-0 (3)
150,The Frank Worrell Trophy (Australia in West Indies),1964/65,,West Indies,2-1 (5)
151,New Zealand in England Test Series,1965,,England,3-0 (3)
152,South Africa in England Test Series,1965,,South Africa,1-0 (3)
153,The Ashes (England in Australia),1965/66,,drawn,1-1 (5)
154,England in New Zealand Test Series,1965/66,,drawn,0-0 (3)
155,The Wisden Trophy (West Indies in England),1966,,West Indies,3-1 (5)
156,West Indies in India Test Series,1966/67,,West Indies,2-0 (3)
157,Australia in South Africa Test Series,1966/67,,South Africa,3-1 (5)
158,India in England Test Series,1967,,England,3-0 (3)
159,Pakistan in England Test Series,1967,,England,2-0 (3)
160,India in Australia Test Series,1967/68,,Australia,4-0 (4)
161,India in New Zealand Test Series,1967/68,,India,3-1 (4)
162,The Wisden Trophy (England in West Indies),1967/68,,England,1-0 (5)
163,The Ashes (Australia in England),1968,,drawn,1-1 (5)
164,The Frank Worrell Trophy (West Indies in Australia),1968/69,,Australia,3-1 (5)
165,England in Pakistan Test Series,1968/69,,drawn,0-0 (3)
166,West Indies in New Zealand Test Series,1968/69,,drawn,1-1 (3)
167,The Wisden Trophy (West Indies in England),1969,,England,2-0 (3)
168,New Zealand in England Test Series,1969,,England,2-0 (3)
169,New Zealand in India Test Series,1969/70,,drawn,1-1 (3)
170,New Zealand in Pakistan Test Series,1969/70,,New Zealand,1-0 (3)
171,Australia in India Test Series,1969/70,,Australia,3-1 (5)
172,Australia in South Africa Test Series,1969/70,,South Africa,4-0 (4)
173,The Ashes (England in Australia),1970/71,,England,2-0 (7)
174,England in New Zealand Test Series,1970/71,,England,1-0 (2)
175,India in West Indies Test Series,1970/71,,India,1-0 (5)
176,Pakistan in England Test Series,1971,,England,1-0 (3)
177,India in England Test Series,1971,,India,1-0 (3)
178,New Zealand in West Indies Test Series,1971/72,,drawn,0-0 (5)
179,The Ashes (Australia in England),1972,,drawn,2-2 (5)
180,Pakistan in Australia Test Series,1972/73,,Australia,3-0 (3)
181,England in India Test Series,1972/73,,India,2-1 (5)
182,Pakistan in New Zealand Test Series,1972/73,,Pakistan,1-0 (3)
183,England in Pakistan Test Series,1972/73,,drawn,0-0 (3)
184,The Frank Worrell Trophy (Australia in West Indies),1972/73,,Australia,2-0 (5)
185,New Zealand in England Test Series,1973,,England,2-0 (3)
186,The Wisden Trophy (West Indies in England),1973,,West Indies,2-0 (3)
187,New Zealand in Australia Test Series,1973/74,,Australia,2-0 (3)
188,Australia in New Zealand Test Series,1973/74,,drawn,1-1 (3)
189,The Wisden Trophy (England in West Indies),1973/74,,drawn,1-1 (5)
190,India in England Test Series,1974,,England,3-0 (3)
191,Pakistan in England Test Series,1974,,drawn,0-0 (3)
192,West Indies in India Test Series,1974/75,,West Indies,3-2 (5)
193,The Ashes (England in Australia),1974/75,,Australia,4-1 (6)
194,England in New Zealand Test Series,1974/75,,England,1-0 (2)
195,West Indies in Pakistan Test Series,1974/75,,drawn,0-0 (2)
196,The Ashes (Australia in England),1975,,Australia,1-0 (4)
197,The Frank Worrell Trophy (West Indies in Australia),1975/76,,Australia,5-1 (6)
198,India in New Zealand Test Series,1975/76,,drawn,1-1 (3)
199,India in West Indies Test Series,1975/76,,West Indies,2-1 (4)
200,The Wisden Trophy (West Indies in England),1976,,West Indies,3-0 (5)
201,New Zealand in Pakistan Test Series,1976/77,,Pakistan,2-0 (3)
202,New Zealand in India Test Series,1976/77,,India,2-0 (3)
203,Pakistan in Australia Test Series,1976/77,,drawn,1-1 (3)
204,England in India Test Series,1976/77,,England,3-1 (5)
205,Australia in New Zealand Test Series,1976/77,,Australia,1-0 (2)
206,Centenary Test (England in Australia),1976/77,,Australia,
207,Pakistan in West Indies Test Series,1976/77,,West Indies,2-1 (5)
208,The Ashes (Australia in England),1977,,England,3-0 (5)
209,England in Pakistan Test Series,1977/78,,drawn,0-0 (3)
210,India in Australia Test Series,1977/78,,Australia,3-2 (5)
211,England in New Zealand Test Series,1977/78,,drawn,1-1 (3)
212,The Frank Worrell Trophy (Australia in West Indies),1977/78,,West Indies,3-1 (5)
213,Pakistan in England Test Series,1978,,England,2-0 (3)
214,New Zealand in England Test Series,1978,,England,3-0 (3)
215,India in Pakistan Test Series,1978/79,,Pakistan,2-0 (3)
216,West Indies in India Test Series,1978/79,,India,1-0 (6)
217,The Ashes (England in Australia),1978/79,,England,5-1 (6)
218,Pakistan in New Zealand Test Series,1978/79,,Pakistan,1-0 (3)
219,Pakistan in Australia Test Series,1978/79,,drawn,1-1 (2)
220,India in England Test Series,1979,,England,1-0 (4)
221,Australia in India Test Series,1979/80,,India,2-0 (6)
222,The Frank Worrell Trophy (West Indies in Australia),1979/80,,West Indies,2-0 (3)
223,Pakistan in India Test Series,1979/80,,India,2-0 (6)
224,England in Australia Test Series,1979/80,,Australia,3-0 (3)
225,Golden Jubilee Test (England in India),1979/80,,England,
226,West Indies in New Zealand Test Series,1979/80,,New Zealand,1-0 (3)
227,Australia in Pakistan Test Series,1979/80,,Pakistan,1-0 (3)
228,The Wisden Trophy (West Indies in England),1980,,West Indies,1-0 (5)
229,Centenary Test (Australia in England),1980,,drawn,
230,New Zealand in Australia Test Series,1980/81,,Australia,2-0 (3)
231,West Indies in Pakistan Test Series,1980/81,,West Indies,1-0 (4)
232,India in Australia Test Series,1980/81,,drawn,1-1 (3)
233,India in New Zealand Test Series,1980/81,,New Zealand,1-0 (3)
234,The Wisden Trophy (England in West Indies),1980/81,,West Indies,2-0 (4)
235,The Ashes (Australia in England),1981,,England,3-1 (6)
236,Pakistan in Australia Test Series,1981/82,,Australia,2-1 (3)
237,The Frank Worrell Trophy (West Indies in Australia),1981/82,,drawn,1-1 (3)
238,England in India Test Series,1981/82,,India,1-0 (6)
239,England in Sri Lanka Test Match,1981/82,,England,1-0 (1)
240,Australia in New Zealand Test Series,1981/82,,drawn,1-1 (3)
241,Sri Lanka in Pakistan Test Series,1981/82,,Pakistan,2-0 (3)
242,India in England Test Series,1982,,England,1-0 (3)
243,Pakistan in England Test Series,1982,,England,2-1 (3)
244,Sri Lanka in India Test Match,1982/83,,drawn,0-0 (1)
245,Australia in Pakistan Test Series,1982/83,,Pakistan,3-0 (3)
246,The Ashes (England in Australia),1982/83,,Australia,2-1 (5)
247,India in Pakistan Test Series,1982/83,,Pakistan,3-0 (6)
248,Sri Lanka in New Zealand Test Series,1982/83,,New Zealand,2-0 (2)
249,Australia in Sri Lanka Test Match,1982/83,,Australia,1-0 (1)
250,India in West Indies Test Series,1982/83,,West Indies,2-0 (5)
251,New Zealand in England Test Series,1983,,England,3-1 (4)
252,Pakistan in India Test Series,1983/84,,drawn,0-0 (3)
253,West Indies in India Test Series,1983/84,,West Indies,3-0 (6)
254,Pakistan in Australia Test Series,1983/84,,Australia,2-0 (5)
255,England in New Zealand Test Series,1983/84,,New Zealand,1-0 (3)
256,England in Pakistan Test Series,1983/84,,Pakistan,1-0 (3)
257,New Zealand in Sri Lanka Test Series,1983/84,,New Zealand,2-0 (3)
258,The Frank Worrell Trophy (Australia in West Indies),1983/84,,West Indies,3-0 (5)
259,The Wisden Trophy (West Indies in England),1984,,West Indies,5-0 (5)
260,Sri Lanka in England Test Match,1984,,drawn,0-0 (1)
261,India in Pakistan Test Series,1984/85,,drawn,0-0 (2)
262,New Zealand in Pakistan Test Series,1984/85,,Pakistan,2-0 (3)
263,The Frank Worrell Trophy (West Indies in Australia),1984/85,,West Indies,3-1 (5)
264,England in India Test Series,1984/85,,England,2-1 (5)
265,Pakistan in New Zealand Test Series,1984/85,,New Zealand,2-0 (3)
266,New Zealand in West Indies Test Series,1984/85,,West Indies,2-0 (4)
267,The Ashes (Australia in England),1985,,England,3-1 (6)
268,India in Sri Lanka Test Series,1985,,Sri Lanka,1-0 (3)
269,Sri Lanka in Pakistan Test Series,1985/86,,Pakistan,2-0 (3)
270,Trans-Tasman Trophy (New Zealand in Australia),1985/86,,New Zealand,2-1 (3)
271,India in Australia Test Series,1985/86,,drawn,0-0 (3)
272,Trans-Tasman Trophy (Australia in New Zealand),1985/86,,New Zealand,1-0 (3)
273,Pakistan in Sri Lanka Test Series,1985/86,,drawn,1-1 (3)
274,The Wisden Trophy (England in West Indies),1985/86,,West Indies,5-0 (5)
275,India in England Test Series,1986,,India,2-0 (3)
276,New Zealand in England Test Series,1986,,New Zealand,1-0 (3)
277,Australia in India Test Series,1986/87,,drawn,0-0 (3)
278,West Indies in Pakistan Test Series,1986/87,,drawn,1-1 (3)
279,Sri Lanka in India Test Series,1986/87,,India,2-0 (3)
280,The Ashes (England in Australia),1986/87,,England,2-1 (5)
281,West Indies in New Zealand Test Series,1986/87,,drawn,1-1 (3)
282,Pakistan in India Test Series,1986/87,,Pakistan,1-0 (5)
283,New Zealand in Sri Lanka Test Series,1987,,drawn,0-0 (1)
284,Pakistan in England Test Series,1987,,Pakistan,1-0 (5)
285,England in Pakistan Test Series,1987/88,,Pakistan,1-0 (3)
286,Trans-Tasman Trophy (New Zealand in Australia),1987/88,,Australia,1-0 (3)
287,West Indies in India Test Series,1987/88,,drawn,1-1 (4)
288,Bicentenary Test (England in Australia),1987/88,,drawn,
289,Sri Lanka in Australia Test Match,1987/88,,Australia,1-0 (1)
290,England in New Zealand Test Series,1987/88,,drawn,0-0 (3)
291,Pakistan in West Indies Test Series,1987/88,,drawn,1-1 (3)
292,The Wisden Trophy (West Indies in England),1988,,West Indies,4-0 (5)
293,Sri Lanka in England Test Match,1988,,England,1-0 (1)
294,Australia in Pakistan Test Series,1988/89,,Pakistan,1-0 (3)
295,New Zealand in India Test Series,1988/89,,India,2-1 (3)
296,The Frank Worrell Trophy (West Indies in Australia),1988/89,,West Indies,3-1 (5)
297,Pakistan in New Zealand Test Series,1988/89,,drawn,0-0 (2)
298,India in West Indies Test Series,1988/89,,West Indies,3-0 (4)
299,The Ashes (Australia in England),1989,,Australia,4-0 (6)
300,Trans-Tasman Trophy (New Zealand in Australia),1989/90,,drawn,0-0 (1)
301,India in Pakistan Test Series,1989/90,,drawn,0-0 (4)
302,Sri Lanka in Australia Test Series,1989/90,,Australia,1-0 (2)
303,Pakistan in Australia Test Series,1989/90,,Australia,1-0 (3)
304,India in New Zealand Test Series,1989/90,,New Zealand,1-0 (3)
305,Trans-Tasman Trophy (Australia in New Zealand),1989/90,,New Zealand,1-0 (1)
306,The Wisden Trophy (England in West Indies),1989/90,,West Indies,2-1 (4)
307,New Zealand in England Test Series,1990,,England,1-0 (3)
308,India in England Test Series,1990,,England,1-0 (3)
309,New Zealand in Pakistan Test Series,1990/91,,Pakistan,3-0 (3)
310,Sri Lanka in India Test Match,1990/91,,India,1-0 (1)
311,West Indies in Pakistan Test Series,1990/91,,drawn,1-1 (3)
312,The Ashes (England in Australia),1990/91,,Australia,3-0 (5)
313,Sri Lanka in New Zealand Test Series,1990/91,,drawn,0-0 (3)
314,The Frank Worrell Trophy (Australia in West Indies),1990/91,,West Indies,2-1 (5)
315,The Wisden Trophy (West Indies in England),1991,,drawn,2-2 (5)
316,Sri Lanka in England Test Match,1991,,England,1-0 (1)
317,Sri Lanka in Pakistan Test Series,1991/92,,Pakistan,1-0 (3)
318,India in Australia Test Series,1991/92,,Australia,4-0 (5)
319,England in New Zealand Test Series,1991/92,,England,2-0 (3)
320,South Africa in West Indies Test Match,1991/92,,West Indies,1-0 (1)
321,Pakistan in England Test Series,1992,,Pakistan,2-1 (5)
322,Australia in Sri Lanka Test Series,1992,,Australia,1-0 (3)
323,India in Zimbabwe Test Match,1992/93,,drawn,0-0 (1)
324,New Zealand in Zimbabwe Test Series,1992/93,,New Zealand,1-0 (2)
325,New Zealand in Sri Lanka Test Series,1992/93,,Sri Lanka,1-0 (2)
326,Pakistan in New Zealand Test Match,1992/93,,Pakistan,1-0 (1)
327,India in South Africa Test Series,1992/93,,South Africa,1-0 (4)
328,The Frank Worrell Trophy (West Indies in Australia),1992/93,,West Indies,2-1 (5)
329,England in India Test Series,1992/93,,India,3-0 (3)
330,Trans-Tasman Trophy (Australia in New Zealand),1992/93,,drawn,1-1 (3)
331,Zimbabwe in India Test Match,1992/93,,India,1-0 (1)
332,England in Sri Lanka Test Match,1992/93,,Sri Lanka,1-0 (1)
333,Pakistan in West Indies Test Series,1992/93,,West Indies,2-0 (3)
334,India in Sri Lanka Test Series,1993,,India,1-0 (3)
335,The Ashes (Australia in England),1993,,Australia,4-1 (6)
336,South Africa in Sri Lanka Test Series,1993,,South Africa,1-0 (3)
337,Trans-Tasman Trophy (New Zealand in Australia),1993/94,,Australia,2-0 (3)
338,West Indies in Sri Lanka Test Match,1993/94,,drawn,0-0 (1)
339,Zimbabwe in Pakistan Test Series,1993/94,,Pakistan,2-0 (3)
340,South Africa in Australia Test Series,1993/94,,drawn,1-1 (3)
341,Sri Lanka in India Test Series,1993/94,,India,3-0 (3)
342,Pakistan in New Zealand Test Series,1993/94,,Pakistan,2-1 (3)
343,India in New Zealand Test Match,1993/94,,drawn,0-0 (1)
344,Australia in South Africa Test Series,1993/94,,drawn,1-1 (3)
345,The Wisden Trophy (England in West Indies),1993/94,,West Indies,3-1 (5)
346,New Zealand in England Test Series,1994,,England,1-0 (3)
347,South Africa in England Test Series,1994,,drawn,1-1 (3)
348,Pakistan in Sri Lanka Test Series,1994,,Pakistan,2-0 (2)
349,Sri Lanka in Zimbabwe Test Series,1994/95,,drawn,0-0 (3)
350,Australia in Pakistan Test Series,1994/95,,Pakistan,1-0 (3)
351,West Indies in India Test Series,1994/95,,drawn,1-1 (3)
352,New Zealand in South Africa Test Series,1994/95,,South Africa,2-1 (3)
353,Pakistan in South Africa Test Match,1994/95,,South Africa,1-0 (1)
354,The Ashes (England in Australia),1994/95,,Australia,3-1 (5)
355,West Indies in New Zealand Test Series,1994/95,,West Indies,1-0 (2)
356,Pakistan in Zimbabwe Test Series,1994/95,,Pakistan,2-1 (3)
357,Centenary Test (South Africa in New Zealand),1994/95,,South Africa,
358,Sri Lanka in New Zealand Test Series,1994/95,,Sri Lanka,1-0 (2)
359,The Frank Worrell Trophy (Australia in West Indies),1994/95,,Australia,2-1 (4)
360,The Wisden Trophy (West Indies in England),1995,,drawn,2-2 (6)
361,Sri Lanka in Pakistan Test Series,1995/96,,Sri Lanka,2-1 (3)
362,South Africa in Zimbabwe Test Match,1995/96,,South Africa,1-0 (1)
363,New Zealand in India Test Series,1995/96,,India,1-0 (3)
364,Pakistan in Australia Test Series,1995/96,,Australia,2-1 (3)
365,Pakistan in New Zealand Test Match,1995/96,,Pakistan,1-0 (1)
366,England in South Africa Test Series,1995/96,,South Africa,1-0 (5)
367,Zimbabwe in New Zealand Test Series,1995/96,,drawn,0-0 (2)
368,Sri Lanka in Australia Test Series,1995/96,,Australia,3-0 (3)
369,New Zealand in West Indies Test Series,1995/96,,West Indies,1-0 (2)
370,India in England Test Series,1996,,England,1-0 (3)
371,Pakistan in England Test Series,1996,,Pakistan,2-0 (3)
372,Zimbabwe in Sri Lanka Test Series,1996,,Sri Lanka,2-0 (2)
373,Border-Gavaskar Trophy (Australia in India),1996/97,,India,1-0 (1)
374,Zimbabwe in Pakistan Test Series,1996/97,,Pakistan,1-0 (2)
375,New Zealand in Pakistan Test Series,1996/97,,drawn,1-1 (2)
376,South Africa in India Test Series,1996/97,,India,2-1 (3)
377,England in Zimbabwe Test Series,1996/97,,drawn,0-0 (2)
378,India in South Africa Test Series,1996/97,,South Africa,2-0 (3)
379,The Frank Worrell Trophy (West Indies in Australia),1996/97,,Australia,3-2 (5)
380,England in New Zealand Test Series,1996/97,,England,2-0 (3)
381,Sri Lanka in New Zealand Test Series,1996/97,,New Zealand,2-0 (2)
382,Australia in South Africa Test Series,1996/97,,Australia,2-1 (3)
383,India in West Indies Test Series,1996/97,,West Indies,1-0 (5)
384,Pakistan in Sri Lanka Test Series,1996/97,,drawn,0-0 (2)
385,Sri Lanka in West Indies Test Series,1997,,West Indies,1-0 (2)
386,India in Sri Lanka Test Series,1997,,drawn,0-0 (2)
387,The Ashes (Australia in England),1997,,Australia,3-2 (6)
388,New Zealand in Zimbabwe Test Series,1997/98,,drawn,0-0 (2)
389,South Africa in Pakistan Test Series,1997/98,,South Africa,1-0 (3)
390,Trans-Tasman Trophy (New Zealand in Australia),1997/98,,Australia,2-0 (3)
391,Sri Lanka in India Test Series,1997/98,,drawn,0-0 (3)
392,West Indies in Pakistan Test Series,1997/98,,Pakistan,3-0 (3)
393,Zimbabwe in Sri Lanka Test Series,1997/98,,Sri Lanka,2-0 (2)
394,South Africa in Australia Test Series,1997/98,,Australia,1-0 (3)
395,Zimbabwe in New Zealand Test Series,1997/98,,New Zealand,2-0 (2)
396,Pakistan in South Africa Test Series,1997/98,,drawn,1-1 (3)
397,The Wisden Trophy (England in West Indies),1997/98,,West Indies,3-1 (6)
398,Pakistan in Zimbabwe Test Series,1997/98,,Pakistan,1-0 (2)
399,Border-Gavaskar Trophy (Australia in India),1997/98,,India,2-1 (3)
400,Sri Lanka in South Africa Test Series,1997/98,,South Africa,2-0 (2)
401,New Zealand in Sri Lanka Test Series,1998,,Sri Lanka,2-1 (3)
402,South Africa in England Test Series,1998,,England,2-1 (5)
403,Sri Lanka in England Test Match,1998,,Sri Lanka,1-0 (1)
404,India in Zimbabwe Test Match,1998/99,,Zimbabwe,1-0 (1)
405,Australia in Pakistan Test Series,1998/99,,Australia,1-0 (3)
406,Zimbabwe in Pakistan Test Series,1998/99,,Zimbabwe,1-0 (3)
407,The Ashes (England in Australia),1998/99,,Australia,3-1 (5)
408,India in New Zealand Test Series,1998/99,,New Zealand,1-0 (2)
409,West Indies in South Africa Test Series,1998/99,,South Africa,5-0 (5)
410,Pakistan in India Test Series,1998/99,,drawn,1-1 (2)
411,"Asian Test Championship (India, Pakistan, Sri Lanka in Bangladesh/India/Pakistan/Sri Lanka)",1998/99,,Pakistan,
412,South Africa in New Zealand Test Series,1998/99,,South Africa,1-0 (3)
413,The Frank Worrell Trophy (Australia in West Indies),1998/99,,drawn,2-2 (4)
414,New Zealand in England Test Series,1999,,New Zealand,2-1 (4)
415,Australia in Sri Lanka Test Series,1999,,Sri Lanka,1-0 (3)
416,Southern Cross Trophy (Australia in Zimbabwe),1999/00,,Australia,1-0 (1)
417,New Zealand in India Test Series,1999/00,,India,1-0 (3)
418,South Africa v Zimbabwe Test Series (in South Africa/Zimbabwe),1999/00,,South Africa,2-0 (2)
419,Pakistan in Australia Test Series,1999/00,,Australia,3-0 (3)
420,Sri Lanka in Zimbabwe Test Series,1999/00,,Sri Lanka,1-0 (3)
