,Series/Tournament,Season,Unnamed: 2,Winner,Margin
159,Afghanistan in Zimbabwe T20I Series,2015/16,,Afghanistan,2-0 (2)
160,West Indies in Sri Lanka T20I Series,2015/16,,drawn,1-1 (2)
161,Zimbabwe in Bangladesh T20I Series,2015/16,,drawn,1-1 (2)
162,United Arab Emirates v Oman T20I Match (in United Arab Emirates),2015/16,,U.A.E.,1-0 (1)
163,Hong Kong v Oman T20I Series (in United Arab Emirates),2015/16,,Oman,2-1 (3)
164,Afghanistan v Hong Kong T20I Match (in United Arab Emirates),2015/16,,Hong Kong,1-0 (1)
165,Afghanistan v Oman T20I Series (in United Arab Emirates),2015/16,,Afghanistan,2-0 (2)
166,Pakistan v England T20I Series (in United Arab Emirates),2015/16,,England,3-0 (3)
167,Afghanistan v Zimbabwe T20I Series (in United Arab Emirates),2015/16,,Afghanistan,2-0 (2)
168,Sri Lanka in New Zealand T20I Series,2015/16,,New Zealand,2-0 (2)
169,Pakistan in New Zealand T20I Series,2015/16,,New Zealand,2-1 (3)
170,Walton T20 Cricket Series (Zimbabwe in Bangladesh),2015/16,,drawn,2-2 (4)
171,India in Australia T20I Series,2015/16,,India,3-0 (3)
172,Scotland in Hong Kong T20I Series,2015/16,,drawn,1-1 (2)
173,Netherlands in United Arab Emirates T20I Match,2015/16,,Netherlands,1-0 (1)
174,Scotland in United Arab Emirates T20I Match,2015/16,,U.A.E.,1-0 (1)
175,Scotland v Netherlands T20I Match (in United Arab Emirates),2015/16,,Scotland,1-0 (1)
176,Papua New Guinea v Ireland T20I Series (in Australia),2015/16,,Ireland,2-1 (3)
177,Sri Lanka in India T20I Series,2015/16,,India,2-1 (3)
178,Ireland in United Arab Emirates T20I Series,2015/16,,drawn,1-1 (2)
179,England in South Africa T20I Series,2015/16,,South Africa,2-0 (2)
180,Asia Cup (in Bangladesh),2015/16,,India,
181,Australia in South Africa T20I Series,2015/16,,Australia,2-1 (3)
182,World T20 (in India),2015/16,,West Indies,
183,India in Zimbabwe T20I Series,2016,,India,2-1 (3)
184,Sri Lanka in England T20I Match,2016,,England,1-0 (1)
185,West Indies v India T20I Series (in United States of America),2016,,West Indies,1-0 (2)
186,Hong Kong in Ireland T20I Series,2016,,Hong Kong,1-0 (2)
187,Pakistan in England T20I Match,2016,,Pakistan,1-0 (1)
188,Australia in Sri Lanka T20I Series,2016,,Australia,2-0 (2)
189,Pakistan v West Indies T20I Series (in United Arab Emirates),2016/17,,Pakistan,3-0 (3)
190,Afghanistan in United Arab Emirates T20I Series,2016/17,,Afghanistan,3-0 (3)
191,Bangladesh in New Zealand T20I Series,2016/17,,New Zealand,3-0 (3)
192,Desert T20 Challenge (in United Arab Emirates),2016/17,,Afghanistan,
193,Sri Lanka in South Africa T20I Series,2016/17,,Sri Lanka,2-1 (3)
194,England in India T20I Series,2016/17,,India,2-1 (3)
195,South Africa in New Zealand T20I Match,2016/17,,South Africa,1-0 (1)
196,Sri Lanka in Australia T20I Series,2016/17,,Sri Lanka,2-1 (3)
197,Afghanistan v Ireland T20I Series (in India),2016/17,,Afghanistan,3-0 (3)
198,Pakistan in West Indies T20I Series,2017,,Pakistan,3-1 (4)
199,Bangladesh in Sri Lanka T20I Series,2016/17,,drawn,1-1 (2)
200,Papua New Guinea in United Arab Emirates T20I Series,2017,,U.A.E.,3-0 (3)
201,Afghanistan in West Indies T20I Series,2017,,West Indies,3-0 (3)
202,South Africa in England T20I Series,2017,,England,2-1 (3)
203,India in West Indies T20I Match,2017,,West Indies,1-0 (1)
204,India in Sri Lanka T20I Match,2017,,India,1-0 (1)
205,Independence Cup (World-XI in Pakistan),2017/18,,Pakistan,2-1 (3)
206,West Indies in England T20I Match,2017,,West Indies,1-0 (1)
207,Australia in India T20I Series,2017/18,,drawn,1-1 (3)
208,Bangladesh in South Africa T20I Series,2017/18,,South Africa,2-0 (2)
209,Pakistan v Sri Lanka T20I Series (in Pakistan/United Arab Emirates),2017/18,,Pakistan,3-0 (3)
210,New Zealand in India T20I Series,2017/18,,India,2-1 (3)
211,Sri Lanka in India T20I Series,2017/18,,India,3-0 (3)
212,West Indies in New Zealand T20I Series,2017/18,,New Zealand,2-0 (3)
213,Pakistan in New Zealand T20I Series,2017/18,,Pakistan,2-1 (3)
214,Afghanistan v Zimbabwe T20I Series (in United Arab Emirates),2017/18,,Afghanistan,2-0 (2)
215,Sri Lanka in Bangladesh T20I Series,2017/18,,Sri Lanka,2-0 (2)
216,"Trans-Tasman Twenty20 Tri-Series (Australia, England, New Zealand in Australia/New Zealand)",2017/18,,Australia,
217,India in South Africa T20I Series,2017/18,,India,2-1 (3)
218,"Nidahas Twenty20 Tri-Series (Bangladesh, India, Sri Lanka in Sri Lanka)",2017/18,,India,
219,West Indies in Pakistan T20I Series,2018,,Pakistan,3-0 (3)
220,ICC World XI v West Indies T20I Match (in England),2018,,West Indies,1-0 (1)
221,Afghanistan v Bangladesh T20I Series (in India),2018,,Afghanistan,3-0 (3)
222,Pakistan in Scotland T20I Series,2018,,Pakistan,2-0 (2)
223,"Netherlands Tri-Nation T20I Series (Ireland, Netherlands, Scotland)",2018,,-,
224,Australia in England T20I Match,2018,,England,1-0 (1)
225,India in Ireland T20I Series,2018,,India,2-0 (2)
226,India in England T20I Series,2018,,India,2-1 (3)
227,"Zimbabwe Twenty20 Tri-Series (Australia, Pakistan, Zimbabwe)",2018,,Pakistan,
228,"Marylebone Cricket Club Tri-Nation T20 Series (Marylebone Cricket Club, Nepal, Netherlands in England)",2018,,-,
229,West Indies v Bangladesh T20I Series (in United States of America/West Indies),2018,,Bangladesh,2-1 (3)
230,South Africa in Sri Lanka T20I Match,2018,,Sri Lanka,1-0 (1)
231,Afghanistan in Ireland T20I Series,2018,,Afghanistan,2-0 (3)
232,Zimbabwe in South Africa T20I Series,2018/19,,South Africa,2-0 (3)
233,Australia in United Arab Emirates T20I Match,2018/19,,Australia,1-0 (1)
234,England in Sri Lanka T20I Match,2018/19,,England,1-0 (1)
235,Pakistan v Australia T20I Series (in United Arab Emirates),2018/19,,Pakistan,3-0 (3)
236,Pakistan v New Zealand T20I Series (in United Arab Emirates),2018/19,,Pakistan,3-0 (3)
237,West Indies in India T20I Series,2018/19,,India,3-0 (3)
238,South Africa in Australia T20I Match,2018/19,,South Africa,1-0 (1)
239,India in Australia T20I Series,2018/19,,drawn,1-1 (3)
240,West Indies in Bangladesh T20I Series,2018/19,,West Indies,2-1 (3)
241,Sri Lanka in New Zealand T20I Match,2018/19,,New Zealand,1-0 (1)
242,"ACC Western Region T20 (Bahrain, Kuwait, Maldives, Qatar, Saudi Arabia in Oman)",2018/19,,Saudi Arabia,
243,Nepal in United Arab Emirates T20I Series,2018/19,,Nepal,2-1 (3)
244,Pakistan in South Africa T20I Series,2018/19,,South Africa,2-1 (3)
245,India in New Zealand T20I Series,2018/19,,New Zealand,2-1 (3)
246,"Oman Quadrangular T20I Series (Ireland, Netherlands, Oman, Scotland)",2018/19,,Scotland,
247,Afghanistan v Ireland T20I Series (in India),2018/19,,Afghanistan,3-0 (3)
248,Australia in India T20I Series,2018/19,,Australia,2-0 (2)
249,England in West Indies T20I Series,2018/19,,England,3-0 (3)
250,United States of America in United Arab Emirates T20I Series,2018/19,,U.A.E.,1-0 (2)
251,"ICC World Twenty20 East Asia-Pacific Region Final (Papua New Guinea, Philippines, Vanuatu in Papua New Guinea)",2018/19,,P.N.G.,
252,Sri Lanka in South Africa T20I Series,2018/19,,South Africa,3-0 (3)
253,"Spain Triangular T20I Series (Estonia XI, Malta, Spain)",2019,,Spain,
254,"Central American Cricket Championships (Belize, Costa Rica, Marylebone Cricket Club, Mexico, Panama in Mexico)",2019,,Belize,
255,Pakistan in England T20I Match,2019,,England,1-0 (1)
256,Germany in Belgium T20I Series,2019,,Germany,3-0 (3)
257,"ICC Men's T20 World Cup Africa Region Final (Botswana, Ghana, Kenya, Namibia, Nigeria, Uganda in Uganda)",2019,,Namibia,
258,Germany v Italy T20I Series (in Netherlands),2019,,Italy,2-0 (2)
259,Inter-Insular T20 Series (Jersey in Guernsey),2019,,Jersey,3-0 (3)
260,"ICC Men's T20 World Cup Europe Region Final (Denmark, Germany, Guernsey, Italy, Jersey, Norway in Guernsey)",2019,,Jersey,
261,Zimbabwe in Netherlands T20I Series,2019,,drawn,1-1 (2)
262,"Malaysia Tri-Nation T20I Series (Malaysia, Maldives, Thailand)",2019,,Malaysia,
263,Kuwait in Qatar T20I Series,2019,,Qatar,2-1 (3)
264,Finland in Denmark T20I Series,2019,,Denmark,2-0 (2)
265,"Pacific Games Men's Cricket Competition (New Caledonia, Papua New Guinea, Samoa, Vanuatu in Samoa)",2019,,P.N.G.,
266,Nepal in Malaysia T20I Series,2019,,Nepal,2-0 (2)
267,Zimbabwe in Ireland T20I Series,2019,,drawn,1-1 (3)
268,"ICC Men's T20 World Cup Asia Region Final (Kuwait, Malaysia, Nepal, Qatar, Singapore in Singapore)",2019,,Singapore,
269,West Indies v India T20I Series (in United States of America/West Indies),2019,,India,3-0 (3)
270,United Arab Emirates in Netherlands T20I Series,2019,,U.A.E.,4-0 (4)
271,Spain in Finland T20I Series,2019,,Spain,2-1 (3)
272,Botswana in Namibia T20I Series,2019,,Namibia,4-0 (4)
273,"ICC Men's T20 World Cup Americas Region Final (Bermuda, Canada, Cayman Islands, United States of America in Bermuda)",2019,,Canada,
274,"Continental Cup (Austria, Czech Republic, Luxembourg, Romania, Turkey in Romania)",2019,,Austria,
275,New Zealand in Sri Lanka T20I Series,2019,,New Zealand,2-1 (3)
276,"Ireland Tri-Nation T20I Series (Ireland, Netherlands, Scotland)",2019,,Ireland,
277,South Africa in India T20I Series,2019/20,,drawn,1-1 (3)
278,"Bangladesh Twenty20 Tri-Series (Afghanistan, Bangladesh, Zimbabwe)",2019,,shared,
279,"Singapore Twenty20 Tri-Series (Nepal, Singapore, Zimbabwe)",2019/20,,Zimbabwe,
280,Vanuatu in Malaysia T20I Series,2019/20,,Vanuatu,3-2 (5)
281,"South American Men's Championships (Argentina, Brazil, Chile, Mexico, Peru in Peru)",2019/20,,Argentina,
282,Sri Lanka in Pakistan T20I Series,2019/20,,Sri Lanka,3-0 (3)
283,"Oman Pentangular T20I Series (Hong Kong, Ireland, Nepal, Netherlands, Oman)",2019/20,,Oman,
284,Jersey in Qatar T20I Series,2019/20,,Qatar,3-0 (3)
285,"Hellenic Premier League (Bulgaria, Greece, Serbia in Greece)",2019/20,,Bulgaria,
286,"Valletta Cup (Czech Republic, Hungary XI, Iceland, Malta in Malta)",2019/20,,Czech Rep.,
287,"Iberia Cup (Gibraltar, Portugal, Spain in Spain)",2019/20,,Spain,
288,Sri Lanka in Australia T20I Series,2019/20,,Australia,3-0 (3)
289,ICC Men's T20 World Cup Qualifier (in United Arab Emirates),2019/20,,Netherlands,
290,Pakistan in Australia T20I Series,2019/20,,Australia,2-0 (3)
291,Bangladesh in India T20I Series,2019/20,,India,2-1 (3)
292,England in New Zealand T20I Series,2019/20,,England,3-2 (5)
293,Kwacha T20 Men's Cup (Mozambique in Malawi),2019/20,,Malawi,5-1 (7)
294,Afghanistan v West Indies T20I Series (in India),2019/20,,Afghanistan,2-1 (3)
295,"South Asian Games Men's Cricket Competition (Bangladesh Under-23s, Bhutan, Maldives, Nepal, Sri Lanka Under-23s in Nepal)",2019/20,,Bdesh U-23s,
296,West Indies in India T20I Series,2019/20,,India,2-1 (3)
297,Sri Lanka in India T20I Series,2019/20,,India,2-0 (3)
298,Ireland in West Indies T20I Series,2019/20,,drawn,1-1 (3)
299,Bangladesh in Pakistan T20I Series,2019/20,,Pakistan,2-0 (3)
300,India in New Zealand T20I Series,2019/20,,India,5-0 (5)
301,Uganda in Qatar T20I Series,2019/20,,Qatar,2-1 (3)
302,England in South Africa T20I Series,2019/20,,England,2-1 (3)
303,Australia in South Africa T20I Series,2019/20,,Australia,2-1 (3)
304,Interport T20I Series (Hong Kong in Malaysia),2019/20,,Malaysia,5-0 (5)
305,ACC Western Region T20 (in Oman),2019/20,,U.A.E.,
306,"ACC Eastern Region T20 (Hong Kong, Malaysia, Nepal, Singapore, Thailand in Thailand)",2019/20,,Singapore,
307,West Indies in Sri Lanka T20I Series,2019/20,,West Indies,2-0 (2)
308,Germany in Spain T20I Series,2019/20,,drawn,1-1 (2)
309,Afghanistan v Ireland T20I Series (in India),2019/20,,Afghanistan,2-1 (3)
310,Zimbabwe in Bangladesh T20I Series,2019/20,,Bangladesh,2-0 (2)
311,Asia XI v World XI T20I Series (in Bangladesh),2019/20,,-,
312,Netherlands in Namibia T20I Series,2019/20,,-,
313,Australia in New Zealand T20I Series,2019/20,,-,
314,Ireland in Zimbabwe T20I Series,2020,,-,
315,Ireland v Bangladesh T20I Series (in England),2020,,-,
316,New Zealand in Scotland T20I Match,2020,,abandoned,0-0 (1)
317,New Zealand in Netherlands T20I Match,2020,,abandoned,0-0 (1)
318,New Zealand in Ireland T20I Series,2020,,-,
319,Australia in Scotland T20I Match,2020,,abandoned,0-0 (1)
320,Isle of Man in Guernsey T20I Match,2020,,Guernsey,1-0 (1)
321,"Luxembourg Twenty20 Tri-Series (Belgium, Czech Republic, Luxembourg)",2020,,Belgium,
322,Pakistan in England T20I Series,2020,,drawn,1-1 (3)
323,Australia in England T20I Series,2020,,England,2-1 (3)
324,Malta in Bulgaria T20I Series,2020,,Malta,2-0 (4)
325,Balkan Cup (Bulgaria in Romania),2020/21,,Romania,
326,Zimbabwe in Pakistan T20I Series,2020/21,,Pakistan,3-0 (3)
327,West Indies in New Zealand T20I Series,2020/21,,New Zealand,2-0 (3)
328,England in South Africa T20I Series,2020/21,,England,3-0 (3)
329,India in Australia T20I Series,2020/21,,India,2-1 (3)
330,Pakistan in New Zealand T20I Series,2020/21,,New Zealand,2-1 (3)
331,South Africa in Pakistan T20I Series,2020/21,,Pakistan,2-1 (3)
332,Australia in New Zealand T20I Series,2020/21,,New Zealand,3-2 (5)
333,Sri Lanka in West Indies T20I Series,2020/21,,West Indies,2-1 (3)
334,Afghanistan v Zimbabwe T20I Series (in United Arab Emirates),2020/21,,Afghanistan,3-0 (3)
335,England in India T20I Series,2020/21,,India,3-2 (5)
336,Bangladesh in New Zealand T20I Series,2020/21,,New Zealand,3-0 (3)
337,Uganda in Namibia T20I Series,2021,,Namibia,3-0 (3)
338,Pakistan in South Africa T20I Series,2021,,Pakistan,3-1 (4)
339,"Nepal Tri-Nation T20I Series (Malaysia, Nepal, Netherlands)",2021,,Nepal,
340,Pakistan in Zimbabwe T20I Series,2021,,Pakistan,2-1 (3)
341,"Central Europe Cup (Austria, Czech Republic, Luxembourg in Czech Republic)",2021,,Austria,
342,Sri Lanka in England T20I Series,2021,,England,3-0 (3)
343,"Sofia Twenty20 (Bulgaria, Greece, Romania, Serbia in Bulgaria)",2021,,Romania,
344,South Africa in West Indies T20I Series,2021,,South Africa,3-2 (5)
345,Belgium in Malta T20I Series,2021,,Belgium,3-2 (5)
346,Australia in West Indies T20I Series,2021,,West Indies,4-1 (5)
347,Pakistan in England T20I Series,2021,,England,2-1 (3)
348,South Africa in Ireland T20I Series,2021,,South Africa,3-0 (3)
349,Austria in Belgium T20I Series,2021,,Belgium,2-1 (3)
350,Bangladesh in Zimbabwe T20I Series,2021,,Bangladesh,2-1 (3)
351,India in Sri Lanka T20I Series,2021,,Sri Lanka,2-1 (3)
352,Pakistan in West Indies T20I Series,2021,,Pakistan,1-0 (4)
353,"Germany T20 Tri-Series (France, Germany, Norway)",2021,,Germany,
354,Australia in Bangladesh T20I Series,2021,,Bangladesh,4-1 (5)
355,Sweden in Denmark T20I Series,2021,,Denmark,2-1 (3)
356,Ghana in Rwanda T20I Series,2021,,Ghana,3-2 (5)
357,"Portugal T20 Tri-Series (Gibraltar, Malta, Portugal)",2021,,Portugal,
358,Sweden in Finland T20I Series,2021,,drawn,2-2 (4)
359,Zimbabwe in Ireland T20I Series,2021,,Ireland,3-2 (5)
360,"Continental Cup (Bulgaria, Czech Republic, Hungary, Luxembourg, Malta, Romania in Romania)",2021,,Romania,
