,Player,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s
29,Umar Akmal (PAK),2009-2019,84,79,14,1690,94,26.0,1377,122.73,0,8,10,122,55
30,AB de Villiers (SA),2006-2017,78,75,11,1672,79*,26.12,1237,135.16,0,10,5,140,60
31,H Masakadza (ZIM),2006-2019,66,66,2,1662,93*,25.96,1418,117.2,0,11,1,151,65
32,AD Hales (ENG),2011-2019,60,60,7,1644,116*,31.01,1203,136.65,1,8,4,175,55
33,Mohammad Rizwan (PAK),2015-2021,55,44,12,1639,104*,51.21,1271,128.95,1,13,3,150,47
34,MS Dhoni (INDIA),2006-2019,98,85,42,1617,56,37.6,1282,126.13,0,2,1,116,52
35,MN Samuels (WI),2007-2018,67,65,10,1611,89*,29.29,1386,116.23,0,10,0,144,69
36,SK Raina (INDIA),2006-2018,78,66,11,1605,101,29.18,1190,134.87,1,5,3,145,58
37,MDKJ Perera (SL),2013-2021,60,59,1,1539,84,26.53,1172,131.31,0,12,1,144,51
38,F du Plessis (SA/World),2012-2020,50,50,7,1528,119,35.53,1137,134.38,1,10,0,140,50
39,LMP Simmons (WI),2007-2021,68,67,10,1527,91*,26.78,1264,120.8,0,9,6,140,68
40,Mohammad Nabi (AFG),2010-2021,86,80,14,1523,89,23.07,1063,143.27,0,4,4,101,85
41,KJ Coetzer (SCOT),2008-2021,70,68,2,1495,89,22.65,1254,119.21,0,6,4,158,48
42,DPMD Jayawardene (SL),2006-2014,55,55,8,1493,100,31.76,1121,133.18,1,9,4,173,33
43,Ahmed Shehzad (PAK),2009-2019,59,59,2,1471,111*,25.8,1282,114.74,1,7,2,157,33
44,KA Pollard (WI),2008-2021,93,76,16,1468,75*,24.46,1083,135.54,0,6,3,86,96
45,Mushfiqur Rahim (BAN),2006-2021,99,90,16,1465,72*,19.79,1270,115.35,0,6,8,122,37
46,SR Watson (AUS),2006-2016,58,56,6,1462,124*,29.24,1006,145.32,1,10,3,115,83
47,E Lewis (WI),2016-2021,50,49,3,1423,125*,30.93,915,155.51,2,10,4,106,110
48,Shahid Afridi (ICC/PAK),2006-2018,99,91,12,1416,54*,17.92,944,150.0,0,4,8,103,73
49,KC Sangakkara (SL),2006-2014,56,53,9,1382,78,31.4,1156,119.55,0,8,2,139,20
50,Asghar Afghan (AFG),2010-2021,75,68,5,1382,62,21.93,1247,110.82,0,4,5,87,69
51,JJ Roy (ENG),2014-2021,53,53,1,1316,78,25.3,908,144.93,0,7,6,136,59
52,HM Amla (SA/World),2009-2018,44,44,6,1277,97*,33.6,967,132.05,0,8,2,146,26
53,HG Munsey (SCOT),2015-2021,51,49,3,1270,127*,27.6,868,146.31,1,7,5,150,57
54,GC Wilson (IRE),2008-2020,81,68,8,1268,65*,21.13,1212,104.62,0,3,4,108,20
55,DJ Bravo (WI),2006-2021,91,74,17,1255,66*,22.01,1091,115.03,0,4,5,73,55
56,Fakhar Zaman (PAK),2017-2021,64,58,3,1253,91,22.78,951,131.75,0,7,3,127,43
57,DJ Malan (ENG),2017-2021,36,35,5,1239,103*,41.3,903,137.2,1,11,0,128,41
58,BN Cooper (NED),2013-2021,58,55,11,1239,91*,28.15,993,124.77,0,9,7,118,38
59,Najibullah Zadran (AFG),2012-2021,68,59,22,1232,73,33.29,872,141.28,0,6,2,84,65
60,NLTC Perera (ICC/SL/World),2010-2021,84,74,22,1204,61,23.15,794,151.63,0,3,8,88,64
61,JM Bairstow (ENG),2011-2021,63,57,12,1190,86*,26.44,876,135.84,0,7,5,111,49
62,A Balbirnie (IRE),2015-2021,57,53,3,1179,83,23.58,951,123.97,0,4,3,134,17
63,Yuvraj Singh (INDIA),2007-2017,58,51,9,1177,77*,28.02,863,136.38,0,8,1,77,74
64,KP Pietersen (ENG),2005-2013,37,36,5,1176,79,37.93,831,141.51,0,7,1,119,32
65,MP O'Dowd (NED),2015-2021,43,42,3,1161,133*,29.76,935,124.17,1,8,0,117,27
66,CS MacLeod (SCOT),2009-2021,60,57,9,1157,74,24.1,1048,110.4,0,7,7,99,22
67,AD Mathews (SL),2009-2021,78,63,18,1148,81*,25.51,975,117.74,0,5,1,73,38
68,Soumya Sarkar (BAN),2015-2021,66,66,3,1136,68,18.03,930,122.15,0,5,10,113,43
69,WTS Porterfield (IRE),2008-2018,61,59,6,1079,72,20.35,971,111.12,0,3,5,120,23
70,RR Hendricks (SA),2014-2021,40,40,1,1049,74,26.89,863,121.55,0,7,2,120,17
71,SC Williams (ZIM),2006-2021,50,50,6,1034,66,23.5,821,125.94,0,7,4,97,29
72,Samiullah Shinwari (AFG),2010-2020,64,56,10,1013,61,22.02,858,118.06,0,2,2,76,37
73,Kamran Akmal (PAK),2006-2017,58,53,6,987,73,21.0,825,119.63,0,5,7,100,31
74,CL White (AUS),2007-2014,47,44,14,984,85*,32.8,740,132.97,0,5,3,71,44
75,GC Smith (SA),2005-2011,33,33,2,982,89*,31.67,770,127.53,0,5,1,123,26
76,Shaiman Anwar (UAE),2014-2019,32,32,3,971,117*,33.48,770,126.1,1,6,1,75,43
77,ADS Fletcher (WI),2008-2021,54,52,7,950,84*,21.11,853,111.37,0,6,7,66,51
78,LD Chandimal (SL),2010-2021,61,54,6,950,66*,19.79,909,104.51,0,6,0,82,19
79,Sabbir Rahman (BAN),2014-2019,44,43,5,946,80,24.89,783,120.81,0,4,2,89,28
80,MH Cross (SCOT),2013-2021,56,46,7,946,66*,24.25,815,116.07,0,5,5,90,25
81,BRM Taylor (ZIM),2006-2021,45,45,6,934,75*,23.94,790,118.22,0,6,5,93,24
82,HE van der Dussen (SA),2018-2021,34,31,7,933,94*,38.87,713,130.85,0,6,1,55,40
83,G Gambhir (INDIA),2007-2012,37,36,2,932,75,27.41,783,119.02,0,7,2,109,10
84,JE Root (ENG),2012-2019,32,30,5,893,90*,35.72,707,126.3,0,5,2,92,16
85,E Chigumbura (ZIM),2006-2020,57,56,9,893,54*,19.0,635,140.62,0,3,6,61,53
86,MR Marsh (AUS),2011-2021,36,35,7,885,77*,31.6,708,125.0,0,6,1,70,35
87,Muhammad Usman (UAE),2016-2021,43,40,5,870,89*,24.85,749,116.15,0,3,3,72,27
88,SPD Smith (AUS),2010-2021,52,41,9,863,90,26.96,684,126.16,0,4,1,71,21
89,N Pooran (WI),2016-2021,49,42,6,845,64,23.47,660,128.03,0,4,2,60,51
90,Liton Das (BAN),2015-2021,46,45,1,844,61,19.18,689,122.49,0,4,4,80,27
91,CO Obuya (KENYA),2007-2021,41,38,7,828,75*,26.7,785,105.47,0,4,3,58,23
92,Sarfaraz Ahmed (PAK),2010-2021,61,42,12,818,89*,27.26,653,125.26,0,3,2,79,15
93,Jatinder Singh (OMA),2015-2021,31,31,4,810,73*,30.0,687,117.9,0,4,2,83,13
94,P Khadka (NEPAL),2014-2020,33,32,3,799,106*,27.55,624,128.04,1,4,3,82,26
95,W Barresi (NED),2012-2019,42,41,6,799,75*,22.82,695,114.96,0,4,3,69,21
96,Mohammad Naim (BAN),2019-2021,32,32,1,794,81,25.61,756,105.02,0,4,2,73,17
97,Misbah-ul-Haq (PAK),2007-2012,39,34,13,788,87*,37.52,715,110.2,0,3,2,45,26
98,CR Ervine (ZIM),2010-2021,34,33,2,777,68*,25.06,740,105.0,0,4,1,75,19
99,Rohan Mustafa (UAE),2014-2021,46,44,2,766,77,18.23,627,122.16,0,3,6,91,22
100,SJ Myburgh (NED),2012-2021,35,34,2,763,71*,23.84,656,116.31,0,5,6,85,22
101,LJ Wright (ENG),2007-2014,51,45,5,759,99*,18.97,554,137.0,0,4,9,68,31
102,TP Ura (PNG),2015-2021,27,27,5,756,107*,34.36,541,139.74,1,5,1,59,35
103,DJ Hussey (AUS),2008-2012,39,36,3,756,88*,22.9,623,121.34,0,3,4,41,34
104,TL Seifert (NZ),2018-2021,40,37,5,753,84*,23.53,580,129.82,0,5,2,63,37
