,Player,Span,Mat,Inns,Balls,Runs,Wkts,BBI,Ave,Econ,SR,4,5
31,CA Walsh (WI),1985-2000,205,204,10822,6918,227,5/1,30.47,3.83,47.6,6,1
32,CEL Ambrose (WI),1988-2000,176,175,9353,5429,225,5/17,24.12,3.48,41.5,6,4
33,Abdur Razzak (BAN),2004-2014,153,152,7965,6065,207,5/29,29.29,4.56,38.4,5,4
34,CJ McDermott (AUS),1985-1996,138,138,7461,5018,203,5/44,24.71,4.03,36.7,4,1
35,CZ Harris (NZ),1990-2004,250,232,10667,7613,203,5/42,37.5,4.28,52.5,2,1
36,CL Cairns (ICC/NZ),1991-2006,215,186,8168,6594,201,5/42,32.8,4.84,40.6,3,1
37,DJ Bravo (WI),2004-2014,164,150,6511,5874,199,6/43,29.51,5.41,32.7,6,1
38,KMDN Kulasekara (SL),2003-2017,184,181,8263,6751,199,5/22,33.92,4.9,41.5,4,1
39,DW Steyn (Afr/SA),2005-2019,125,124,6256,5087,196,6/39,25.95,4.87,31.9,4,3
40,BKV Prasad (INDIA),1994-2001,161,160,8129,6332,196,5/27,32.3,4.67,41.4,3,1
41,MA Starc (AUS),2010-2021,99,99,5099,4379,195,6/28,22.45,5.15,26.1,11,8
42,SR Waugh (AUS),1986-2002,325,207,8883,6761,195,4/33,34.67,4.56,45.5,3,0
43,CL Hooper (WI),1987-2003,227,203,9573,6958,193,4/34,36.05,4.36,49.6,3,0
44,L Klusener (SA),1996-2004,171,164,7336,5751,192,6/49,29.95,4.7,38.2,1,6
45,TG Southee (NZ),2008-2020,143,141,7195,6558,190,7/33,34.51,5.46,37.8,4,3
46,M Morkel (Afr/SA),2007-2018,117,114,5760,4761,188,5/21,25.32,4.95,30.6,7,2
47,RA Jadeja (INDIA),2009-2020,168,164,8557,7024,188,5/36,37.36,4.92,45.5,7,1
48,CRD Fernando (Asia/SL),2001-2012,147,141,6507,5648,187,6/27,30.2,5.2,34.7,3,1
49,Saeed Ajmal (PAK),2008-2015,113,112,6000,4182,184,5/24,22.72,4.18,32.6,6,2
50,Imran Khan (PAK),1974-1992,175,153,7461,4844,182,6/14,26.61,3.89,40.9,3,1
51,Aaqib Javed (PAK),1988-1998,163,159,8012,5721,182,7/37,31.43,4.28,44.0,2,4
52,Umar Gul (PAK),2003-2016,130,128,6064,5253,179,6/42,29.34,5.19,33.8,4,2
53,SCJ Broad (ENG),2006-2016,121,121,6109,5364,178,5/23,30.13,5.26,34.3,9,1
54,NLTC Perera (SL),2009-2021,166,157,5900,5740,175,6/44,32.8,5.83,33.7,5,4
55,NW Bracken (AUS),2001-2009,116,116,5759,4240,174,5/47,24.36,4.41,33.0,5,2
56,Imran Tahir (SA),2011-2019,107,104,5541,4297,173,7/45,24.83,4.65,32.0,7,3
57,JDP Oram (NZ),2001-2012,160,154,6911,5047,173,5/26,29.17,4.38,39.9,3,2
58,IK Pathan (INDIA),2004-2012,120,118,5855,5142,173,5/27,29.72,5.26,33.8,5,2
59,A Flintoff (ENG/ICC),1999-2009,141,119,5624,4121,169,5/19,24.38,4.39,33.2,6,2
60,TA Boult (NZ),2012-2021,93,93,5117,4261,169,7/34,25.21,4.99,30.2,8,5
61,SR Watson (AUS),2002-2015,190,163,6466,5342,168,4/36,31.79,4.95,38.4,3,0
62,CH Gayle (ICC/WI),1999-2019,301,199,7424,5926,167,5/46,35.48,4.78,44.4,3,1
63,Mushtaq Ahmed (PAK),1989-2003,144,142,7543,5361,161,5/36,33.29,4.26,46.8,3,1
64,AU Rashid (ENG),2009-2021,112,106,5573,5251,159,5/27,33.02,5.65,35.0,7,2
65,RJ Hadlee (NZ),1973-1990,115,112,6182,3407,158,5/25,21.56,3.3,39.1,1,5
66,Shoaib Malik (PAK),1999-2019,287,217,7958,6192,158,4/19,39.18,4.66,50.3,1,0
67,MD Marshall (WI),1980-1992,136,134,7175,4233,157,4/18,26.96,3.53,45.7,6,0
68,M Prabhakar (INDIA),1984-1996,130,127,6360,4534,157,5/33,28.87,4.27,40.5,4,2
69,A Nehra (Asia/INDIA),2001-2011,120,120,5751,4981,157,6/23,31.72,5.19,36.6,5,2
70,GB Hogg (AUS),1996-2008,123,113,5564,4188,156,5/32,26.84,4.51,35.6,3,2
71,CR Woakes (ENG),2011-2021,106,102,5016,4567,155,6/45,29.46,5.46,32.3,10,3
72,SR Tendulkar (INDIA),1989-2012,463,270,8054,6850,154,5/32,44.48,5.1,52.2,4,2
73,BAW Mendis (SL),2008-2015,87,84,4154,3324,152,6/13,21.86,4.8,27.3,7,3
74,UDU Chandana (SL),1994-2007,147,136,6142,4818,151,5/61,31.9,4.7,40.6,4,1
75,R Ashwin (INDIA),2010-2017,111,109,6021,4937,150,4/25,32.91,4.91,40.1,1,0
