,Series/Tournament,Season,Unnamed: 2,Winner,Margin
35,England in Sri Lanka ODI Series,1981/82,,drawn,1-1 (2)
36,Australia in New Zealand ODI Series,1981/82,,Australia,2-1 (3)
37,Sri Lanka in Pakistan ODI Series,1981/82,,Pakistan,2-1 (3)
38,Prudential Trophy (India in England),1982,,England,2-0 (2)
39,Prudential Trophy (Pakistan in England),1982,,England,2-0 (2)
40,Sri Lanka in India ODI Series,1982/83,,India,3-0 (3)
41,Australia in Pakistan ODI Series,1982/83,,Pakistan,2-0 (3)
42,India in Pakistan ODI Series,1982/83,,Pakistan,3-1 (4)
43,"Benson & Hedges World Series Cup (Australia, England, New Zealand in Australia)",1982/83,,Australia,
44,England in New Zealand ODI Series,1982/83,,New Zealand,3-0 (3)
45,Bushfire Appeal Challenge Match (New Zealand in Australia),1982/83,,New Zealand,1-0 (1)
46,Sri Lanka in New Zealand ODI Series,1982/83,,New Zealand,3-0 (3)
47,India in West Indies ODI Series,1982/83,,West Indies,2-1 (3)
48,Australia in Sri Lanka ODI Series,1982/83,,Sri Lanka,2-0 (4)
49,Prudential World Cup (in England),1983,,India,
50,Pakistan in India ODI Series,1983/84,,India,2-0 (2)
51,West Indies in India ODI Series,1983/84,,West Indies,5-0 (5)
52,"Benson & Hedges World Series Cup (Australia, Pakistan, West Indies in Australia)",1983/84,,West Indies,
53,England in New Zealand ODI Series,1983/84,,England,2-1 (3)
54,England in Pakistan ODI Series,1983/84,,drawn,1-1 (2)
55,New Zealand in Sri Lanka ODI Series,1983/84,,New Zealand,2-1 (3)
56,"Rothmans Asia Cup (India, Pakistan, Sri Lanka in United Arab Emirates)",1983/84,,India,
57,Australia in West Indies ODI Series,1983/84,,West Indies,3-1 (4)
58,Texaco Trophy (West Indies in England),1984,,West Indies,2-1 (3)
59,Australia in India ODI Series,1984/85,,Australia,3-0 (5)
60,India in Pakistan ODI Series,1984/85,,Pakistan,1-0 (2)
61,New Zealand in Sri Lanka ODI Series,1984/85,,drawn,1-1 (2)
62,New Zealand in Pakistan ODI Series,1984/85,,Pakistan,3-1 (4)
63,England in India ODI Series,1984/85,,England,4-1 (5)
64,"Benson & Hedges World Series Cup (Australia, Sri Lanka, West Indies in Australia)",1984/85,,West Indies,
65,Pakistan in New Zealand ODI Series,1984/85,,New Zealand,3-0 (4)
66,Benson & Hedges World Championship of Cricket (in Australia),1984/85,,India,
67,"Rothmans Four-Nations Cup (Australia, England, India, Pakistan in United Arab Emirates)",1984/85,,India,
68,New Zealand in West Indies ODI Series,1984/85,,West Indies,5-0 (5)
69,Texaco Trophy (Australia in England),1985,,Australia,2-1 (3)
70,India in Sri Lanka ODI Series,1985,,drawn,1-1 (3)
71,Sri Lanka in Pakistan ODI Series,1985/86,,Pakistan,4-0 (4)
72,"Rothmans Sharjah Cup (India, Pakistan, West Indies in United Arab Emirates)",1985/86,,West Indies,
73,West Indies in Pakistan ODI Series,1985/86,,West Indies,3-2 (5)
74,"Benson & Hedges World Series Cup (Australia, India, New Zealand in Australia)",1985/86,,Australia,
75,Pakistan in Sri Lanka ODI Series,1985/86,,Pakistan,2-0 (3)
76,Australia in New Zealand ODI Series,1985/86,,drawn,2-2 (4)
77,England in West Indies ODI Series,1985/86,,West Indies,3-1 (4)
78,"John Player Gold Leaf Trophy (Asia Cup) (Bangladesh, Pakistan, Sri Lanka in Sri Lanka)",1985/86,,Sri Lanka,
79,"John Player Triangular Tournament (New Zealand, Pakistan, Sri Lanka in Sri Lanka)",1985/86,,Pakistan,
80,"Austral-Asia Cup (Australia, India, New Zealand, Pakistan, Sri Lanka in United Arab Emirates)",1985/86,,Pakistan,
81,Texaco Trophy (India in England),1986,,India,1-1 (2)
82,Texaco Trophy (New Zealand in England),1986,,New Zealand,1-1 (2)
83,Australia in India ODI Series,1986/87,,India,3-2 (6)
84,West Indies in Pakistan ODI Series,1986/87,,West Indies,4-1 (5)
85,"Champions Trophy (India, Pakistan, Sri Lanka, West Indies in United Arab Emirates)",1986/87,,West Indies,
86,"Benson & Hedges Challenge (Australia, England, Pakistan, West Indies in Australia)",1986/87,,England,
87,Sri Lanka in India ODI Series,1986/87,,India,4-1 (5)
88,"Benson & Hedges World Series Cup (Australia, England, West Indies in Australia)",1986/87,,England,
89,Pakistan in India ODI Series,1986/87,,Pakistan,5-1 (6)
90,West Indies in New Zealand ODI Series,1986/87,,West Indies,3-0 (3)
91,"Sharjah Cup (Australia, England, India, Pakistan in United Arab Emirates)",1986/87,,England,
92,Texaco Trophy (Pakistan in England),1987,,England,2-1 (3)
93,Reliance World Cup (in India/Pakistan),1987/88,,Australia,
94,England in Pakistan ODI Series,1987/88,,England,3-0 (3)
95,Indian Board Benevolent Fund Match (West Indies in India),1987/88,,West Indies,1-0 (1)
96,"Benson & Hedges World Series Cup (Australia, New Zealand, Sri Lanka in Australia)",1987/88,,Australia,
97,West Indies in India ODI Series,1987/88,,West Indies,6-1 (7)
98,Australian Bicentennial Match (England in Australia),1987/88,,Australia,1-0 (1)
99,England in New Zealand ODI Series,1987/88,,drawn,2-2 (4)
100,Pakistan in West Indies ODI Series,1987/88,,West Indies,5-0 (5)
101,"Sharjah Cup (India, New Zealand, Sri Lanka in United Arab Emirates)",1987/88,,India,
102,Texaco Trophy (West Indies in England),1988,,England,3-0 (3)
103,Texaco Trophy (Sri Lanka in England),1988,,England,1-0 (1)
104,Australia in Pakistan ODI Series,1988/89,,Pakistan,1-0 (1)
105,"Champions Trophy (India, Pakistan, West Indies in United Arab Emirates)",1988/89,,West Indies,
106,"Wills Asia Cup (Bangladesh, India, Pakistan, Sri Lanka in Bangladesh)",1988/89,,India,
107,New Zealand in India ODI Series,1988/89,,India,4-0 (4)
108,"Benson & Hedges World Series (Australia, Pakistan, West Indies in Australia)",1988/89,,West Indies,
109,Dunedin Test Replacement Match (Pakistan in New Zealand),1988/89,,New Zealand,1-0 (1)
110,Pakistan in New Zealand ODI Series,1988/89,,New Zealand,3-1 (4)
111,India in West Indies ODI Series,1988/89,,West Indies,5-0 (5)
112,"Sharjah Cup (Pakistan, Sri Lanka in United Arab Emirates)",1988/89,,Pakistan,2-0 (2)
113,Texaco Trophy (Australia in England),1989,,England,1-1 (3)
114,"Champions Trophy (India, Pakistan, West Indies in United Arab Emirates)",1989/90,,Pakistan,
115,"MRF World Series (Nehru Cup) (Australia, England, India, Pakistan, Sri Lanka, West Indies in India)",1989/90,,Pakistan,
116,India in Pakistan ODI Series,1989/90,,Pakistan,2-0 (3)
117,"Benson & Hedges World Series (Australia, Pakistan, Sri Lanka in Australia)",1989/90,,Australia,
118,"Rothmans Cup Triangular Series (Australia, India, New Zealand in New Zealand)",1989/90,,Australia,
119,Georgetown Test Replacement Match (1) (England in West Indies),1989/90,,abandoned,0-0 (1)
120,Georgetown Test Replacement Match (2) (England in West Indies),1989/90,,West Indies,1-0 (1)
121,England in West Indies ODI Series,1989/90,,West Indies,3-0 (5)
122,"Austral-Asia Cup (Australia, Bangladesh, India, New Zealand, Pakistan, Sri Lanka in United Arab Emirates)",1990,,Pakistan,
123,Texaco Trophy (New Zealand in England),1990,,England,1-1 (2)
124,Texaco Trophy (India in England),1990,,India,2-0 (2)
125,New Zealand in Pakistan ODI Series,1990/91,,Pakistan,3-0 (3)
126,West Indies in Pakistan ODI Series,1990/91,,Pakistan,3-0 (3)
127,Sri Lanka in India ODI Series,1990/91,,India,2-1 (3)
128,"Sharjah Cup (Pakistan, Sri Lanka in United Arab Emirates)",1990/91,,Pakistan,1-1 (2)
129,"Asia Cup (Bangladesh, India, Sri Lanka in India)",1990/91,,India,
130,"Benson & Hedges World Series (Australia, England, New Zealand in Australia)",1990/91,,Australia,
131,Sri Lanka in New Zealand ODI Series,1990/91,,New Zealand,3-0 (3)
132,England in New Zealand ODI Series,1990/91,,New Zealand,2-1 (3)
133,Australia in West Indies ODI Series,1990/91,,Australia,4-1 (5)
134,Texaco Trophy (West Indies in England),1991,,England,3-0 (3)
135,"Wills Trophy (India, Pakistan, West Indies in United Arab Emirates)",1991/92,,Pakistan,
136,South Africa in India ODI Series,1991/92,,India,2-1 (3)
137,West Indies in Pakistan ODI Series,1991/92,,West Indies,2-0 (3)
138,Sri Lanka in Pakistan ODI Series,1991/92,,Pakistan,4-1 (5)
139,"Benson & Hedges World Series (Australia, India, West Indies in Australia)",1991/92,,Australia,
140,England in New Zealand ODI Series,1991/92,,England,3-0 (3)
141,Benson & Hedges World Cup (in Australia/New Zealand),1991/92,,Pakistan,
142,South Africa in West Indies ODI Series,1991/92,,West Indies,3-0 (3)
143,Texaco Trophy (Pakistan in England),1992,,England,4-1 (5)
144,Australia in Sri Lanka ODI Series,1992,,Sri Lanka,2-1 (3)
145,India in Zimbabwe ODI Match,1992/93,,India,1-0 (1)
146,New Zealand in Zimbabwe ODI Series,1992/93,,New Zealand,2-0 (2)
147,New Zealand in Sri Lanka ODI Series,1992/93,,Sri Lanka,2-0 (3)
148,India in South Africa ODI Series,1992/93,,South Africa,5-2 (7)
149,Pakistan in New Zealand ODI Series,1992/93,,New Zealand,2-1 (3)
150,"Benson & Hedges World Series (Australia, Pakistan, West Indies in Australia)",1992/93,,West Indies,
151,"Wills Trophy (Pakistan, Sri Lanka, Zimbabwe in United Arab Emirates)",1992/93,,Pakistan,
152,"Total International Series (Pakistan, South Africa, West Indies in South Africa)",1992/93,,West Indies,
153,Pakistan in Zimbabwe ODI Match,1992/93,,Pakistan,1-0 (1)
154,England in India ODI Series,1992/93,,drawn,3-3 (6)
155,England in Sri Lanka ODI Series,1992/93,,Sri Lanka,2-0 (2)
156,Zimbabwe in India ODI Series,1992/93,,India,3-0 (3)
157,Australia in New Zealand ODI Series,1992/93,,Australia,3-2 (5)
158,Pakistan in West Indies ODI Series,1992/93,,drawn,2-2 (5)
159,Texaco Trophy (Australia in England),1993,,Australia,3-0 (3)
160,India in Sri Lanka ODI Series,1993,,Sri Lanka,2-1 (3)
161,South Africa in Sri Lanka ODI Series,1993,,drawn,1-1 (3)
162,"Pepsi Champions Trophy (Pakistan, Sri Lanka, West Indies in United Arab Emirates)",1993/94,,West Indies,
163,"C.A.B. Jubilee Tournament (Hero Cup) (India, South Africa, Sri Lanka, West Indies, Zimbabwe in India)",1993/94,,India,
164,West Indies in Sri Lanka ODI Series,1993/94,,drawn,1-1 (3)
165,Zimbabwe in Pakistan ODI Series,1993/94,,Pakistan,3-0 (3)
166,"Benson & Hedges World Series (Australia, New Zealand, South Africa in Australia)",1993/94,,Australia,
167,Sri Lanka in India ODI Series,1993/94,,India,2-1 (3)
168,England in West Indies ODI Series,1993/94,,West Indies,3-2 (5)
169,Pakistan in New Zealand ODI Series,1993/94,,Pakistan,3-1 (5)
170,India in New Zealand ODI Series,1993/94,,drawn,2-2 (4)
171,Australia in South Africa ODI Series,1993/94,,drawn,4-4 (8)
172,"Pepsi Austral-Asia Cup (Australia, India, New Zealand, Pakistan, Sri Lanka, United Arab Emirates in United Arab Emirates)",1993/94,,Pakistan,
173,Texaco Trophy (New Zealand in England),1994,,England,1-0 (1)
174,Pakistan in Sri Lanka ODI Series,1994,,Pakistan,4-1 (5)
175,Texaco Trophy (South Africa in England),1994,,England,2-0 (2)
176,"Singer World Series (Australia, India, Pakistan, Sri Lanka in Sri Lanka)",1994,,India,
177,"Wills Triangular Series (Australia, Pakistan, South Africa in Pakistan)",1994/95,,Australia,
178,"Wills World Series (India, New Zealand, West Indies in India)",1994/95,,India,
179,Sri Lanka in Zimbabwe ODI Series,1994/95,,Sri Lanka,2-1 (3)
180,West Indies in India ODI Series,1994/95,,India,4-1 (5)
181,"Benson & Hedges World Series (Australia, Australia A, England, Zimbabwe in Australia)",1994/95,,Australia,
182,"Mandela Trophy (New Zealand, Pakistan, South Africa, Sri Lanka in South Africa)",1994/95,,South Africa,
183,West Indies in New Zealand ODI Series,1994/95,,West Indies,3-0 (3)
184,"New Zealand Centenary Tournament (Australia, India, New Zealand, South Africa)",1994/95,,Australia,
185,Pakistan in Zimbabwe ODI Series,1994/95,,drawn,1-1 (3)
186,Australia in West Indies ODI Series,1994/95,,West Indies,4-1 (5)
187,Sri Lanka in New Zealand ODI Series,1994/95,,New Zealand,2-1 (3)
188,"Pepsi Asia Cup (Bangladesh, India, Pakistan, Sri Lanka in United Arab Emirates)",1994/95,,India,
189,Texaco Trophy (West Indies in England),1995,,England,2-1 (3)
190,Sri Lanka in Pakistan ODI Series,1995/96,,Sri Lanka,2-1 (3)
191,"Singer Champions Trophy (Pakistan, Sri Lanka, West Indies in United Arab Emirates)",1995/96,,Sri Lanka,
192,South Africa in Zimbabwe ODI Series,1995/96,,South Africa,2-0 (2)
193,New Zealand in India ODI Series,1995/96,,India,3-2 (5)
194,Pakistan in New Zealand ODI Series,1995/96,,drawn,2-2 (4)
195,"Benson & Hedges World Series (Australia, Sri Lanka, West Indies in Australia)",1995/96,,Australia,
196,England in South Africa ODI Series,1995/96,,South Africa,6-1 (7)
197,Zimbabwe in New Zealand ODI Series,1995/96,,New Zealand,2-1 (3)
198,Wills World Cup (in India/Pakistan/Sri Lanka),1995/96,,Sri Lanka,
199,New Zealand in West Indies ODI Series,1995/96,,West Indies,3-2 (5)
200,"Singer Cup (India, Pakistan, Sri Lanka in Singapore)",1995/96,,Pakistan,
201,Sri Lanka in West Indies ODI Match,1995/96,,Sri Lanka,1-0 (1)
202,"Pepsi Sharjah Cup (India, Pakistan, South Africa in United Arab Emirates)",1995/96,,South Africa,
203,Texaco Trophy (India in England),1996,,England,2-0 (3)
204,Texaco Trophy (Pakistan in England),1996,,England,2-1 (3)
205,"Singer World Series (Australia, India, Sri Lanka, Zimbabwe in Sri Lanka)",1996,,Sri Lanka,
206,"Sahara 'Friendship' Cup (India, Pakistan in Canada)",1996,,Pakistan,3-2 (5)
207,"KCA Centenary Tournament (Kenya, Pakistan, South Africa, Sri Lanka in Kenya)",1996/97,,South Africa,
208,Zimbabwe in Pakistan ODI Series,1996/97,,Pakistan,3-0 (3)
209,"Titan Cup (Australia, India, South Africa in India)",1996/97,,India,
210,"Singer Champions Trophy (New Zealand, Pakistan, Sri Lanka in United Arab Emirates)",1996/97,,Pakistan,
211,New Zealand in Pakistan ODI Series,1996/97,,Pakistan,2-1 (3)
212,Mohinder Amarnath Benefit Match (South Africa in India),1996/97,,India,
213,England in Zimbabwe ODI Series,1996/97,,Zimbabwe,3-0 (3)
214,"Carlton & United Series (Australia, Pakistan, West Indies in Australia)",1996/97,,Pakistan,
215,"Standard Bank International One-Day Series (India, South Africa, Zimbabwe in South Africa)",1996/97,,South Africa,
216,India in Zimbabwe ODI Series,1996/97,,Zimbabwe,1-0 (1)
217,England in New Zealand ODI Series,1996/97,,drawn,2-2 (5)
218,Sri Lanka in New Zealand ODI Series,1996/97,,drawn,1-1 (2)
219,"Singer-Akai Cup (Pakistan, Sri Lanka, Zimbabwe in United Arab Emirates)",1996/97,,Sri Lanka,
220,Australia in South Africa ODI Series,1996/97,,Australia,4-3 (7)
221,India in West Indies ODI Series,1996/97,,West Indies,3-1 (4)
222,Texaco Trophy (Australia in England),1997,,England,3-0 (3)
223,"Pepsi Independence Cup (India, New Zealand, Pakistan, Sri Lanka in India)",1997,,Sri Lanka,
224,Sri Lanka in West Indies ODI Match,1997,,West Indies,1-0 (1)
225,"Pepsi Asia Cup (Bangladesh, India, Pakistan, Sri Lanka in Sri Lanka)",1997,,Sri Lanka,
226,India in Sri Lanka ODI Series,1997,,Sri Lanka,3-0 (3)
227,"Sahara 'Friendship' Cup (India, Pakistan in Canada)",1997,,India,4-1 (5)
228,India in Pakistan ODI Series,1997/98,,Pakistan,2-1 (3)
229,New Zealand in Zimbabwe ODI Series,1997/98,,drawn,1-1 (3)
230,"President's Cup (Bangladesh, Kenya, Zimbabwe in Kenya)",1997/98,,Zimbabwe,
231,"Wills Quadrangular Tournament (Pakistan, South Africa, Sri Lanka, West Indies in Pakistan)",1997/98,,South Africa,
232,"Akai-Singer Champions Trophy (England, India, Pakistan, West Indies in United Arab Emirates)",1997/98,,England,
233,Sri Lanka in India ODI Series,1997/98,,drawn,1-1 (3)
234,"Silver Jubilee Independence Cup (Bangladesh, India, Pakistan in Bangladesh)",1997/98,,India,
235,Zimbabwe in Sri Lanka ODI Series,1997/98,,Sri Lanka,3-0 (3)
236,"Carlton & United Series (Australia, New Zealand, South Africa in Australia)",1997/98,,Australia,
237,Australia in New Zealand ODI Series,1997/98,,drawn,2-2 (4)
238,Zimbabwe in New Zealand ODI Series,1997/98,,New Zealand,4-1 (5)
239,Pakistan in Zimbabwe ODI Series,1997/98,,Pakistan,2-0 (2)
240,England in West Indies ODI Series,1997/98,,West Indies,4-1 (5)
241,"Pepsi Triangular Series (Australia, India, Zimbabwe in India)",1997/98,,Australia,
242,"Standard Bank International One-Day Series (Pakistan, South Africa, Sri Lanka in South Africa)",1997/98,,South Africa,
243,"Coca-Cola Cup (Australia, India, New Zealand in United Arab Emirates)",1997/98,,India,
244,Texaco Trophy (South Africa in England),1998,,South Africa,2-1 (3)
245,"Coca-Cola Triangular Series (Bangladesh, India, Kenya in India)",1998,,India,
246,"Singer-Akai Nidahas Trophy (India, New Zealand, Sri Lanka in Sri Lanka)",1998,,India,
247,"Emirates Triangular Tournament (England, South Africa, Sri Lanka in England)",1998,,Sri Lanka,
248,"Sahara 'Friendship' Cup (India, Pakistan in Canada)",1998,,Pakistan,4-1 (5)
249,India in Zimbabwe ODI Series,1998/99,,India,2-1 (3)
250,Wills International Cup (in Bangladesh),1998/99,,South Africa,
251,Australia in Pakistan ODI Series,1998/99,,Australia,3-0 (3)
252,"Coca-Cola Champions Trophy (India, Sri Lanka, Zimbabwe in United Arab Emirates)",1998/99,,India,
253,Zimbabwe in Pakistan ODI Series,1998/99,,Pakistan,2-1 (3)
254,India in New Zealand ODI Series,1998/99,,drawn,2-2 (5)
255,West Indies in South Africa ODI Series,1998/99,,South Africa,6-1 (7)
256,"Carlton & United Series (Australia, England, Sri Lanka in Australia)",1998/99,,Australia,
257,Pakistan in Bangladesh ODI Match,1998/99,,Pakistan,1-0 (1)
258,"Meril International Cricket Tournament (Bangladesh, Kenya, Zimbabwe in Bangladesh)",1998/99,,Zimbabwe,
259,South Africa in New Zealand ODI Series,1998/99,,South Africa,3-2 (6)
260,"Pepsi Cup (India, Pakistan, Sri Lanka in India)",1998/99,,Pakistan,
261,"Coca-Cola Cup (England, India, Pakistan in United Arab Emirates)",1998/99,,Pakistan,
262,Australia in West Indies ODI Series,1998/99,,drawn,3-3 (7)
263,ICC World Cup (in England/Ireland/Netherlands/Scotland),1999,,Australia,
264,"Aiwa Cup (Australia, India, Sri Lanka in Sri Lanka)",1999,,Sri Lanka,
265,"Coca-Cola Singapore Challenge (India, West Indies, Zimbabwe in Singapore)",1999,,West Indies,
266,"DMC Cup (India, West Indies in Canada)",1999,,India,2-1 (3)
267,"DMC Trophy (Pakistan, West Indies in Canada)",1999,,Pakistan,3-0 (3)
268,"LG Cup (India, Kenya, South Africa, Zimbabwe in Kenya)",1999/00,,South Africa,
269,West Indies in Bangladesh ODI Series,1999/00,,West Indies,2-0 (2)
270,"Coca-Cola Champions Trophy (Pakistan, Sri Lanka, West Indies in United Arab Emirates)",1999/00,,Pakistan,
271,Australia in Zimbabwe ODI Series,1999/00,,Australia,3-0 (3)
272,New Zealand in India ODI Series,1999/00,,India,3-2 (5)
273,Sri Lanka in Zimbabwe ODI Series,1999/00,,Sri Lanka,3-1 (5)
274,West Indies in New Zealand ODI Series,1999/00,,New Zealand,5-0 (5)
275,"Carlton & United Series (Australia, India, Pakistan in Australia)",1999/00,,Australia,
276,"Standard Bank Triangular Tournament (England, South Africa, Zimbabwe in South Africa)",1999/00,,South Africa,
277,Sri Lanka in Pakistan ODI Series,1999/00,,Sri Lanka,3-0 (3)
278,England in Zimbabwe ODI Series,1999/00,,England,3-0 (3)
279,Australia in New Zealand ODI Series,1999/00,,Australia,4-1 (6)
280,South Africa in India ODI Series,1999/00,,India,3-2 (5)
281,"Coca-Cola Cup (India, Pakistan, South Africa in United Arab Emirates)",1999/00,,Pakistan,
282,Australia in South Africa ODI Series,1999/00,,South Africa,2-1 (3)
283,"Cable & Wireless One Day International Series (Pakistan, West Indies, Zimbabwe in West Indies)",2000,,Pakistan,
284,"Asia Cup (Bangladesh, India, Pakistan, Sri Lanka in Bangladesh)",2000,,Pakistan,
285,"Singer Triangular Series (Pakistan, South Africa, Sri Lanka in Sri Lanka)",2000,,Sri Lanka,
286,"NatWest Series (England, West Indies, Zimbabwe in England)",2000,,England,
287,South Africa in Australia ODI Series,2000,,drawn,1-1 (3)
288,"Godrej Singapore Challenge (New Zealand, Pakistan, South Africa in Singapore)",2000,,South Africa,
289,New Zealand in Zimbabwe ODI Series,2000/01,,Zimbabwe,2-1 (3)
290,ICC KnockOut (in Kenya),2000/01,,New Zealand,
291,"Coca-Cola Champions Trophy (India, Sri Lanka, Zimbabwe in United Arab Emirates)",2000/01,,Sri Lanka,
292,England in Pakistan ODI Series,2000/01,,Pakistan,2-1 (3)
293,New Zealand in South Africa ODI Series,2000/01,,South Africa,5-0 (6)
294,Zimbabwe in India ODI Series,2000/01,,India,4-1 (5)
295,Zimbabwe in New Zealand ODI Series,2000/01,,Zimbabwe,2-1 (3)
296,Sri Lanka in South Africa ODI Series,2000/01,,South Africa,5-1 (6)
297,"Carlton Series (Australia, West Indies, Zimbabwe in Australia)",2000/01,,Australia,
298,Sri Lanka in New Zealand ODI Series,2000/01,,Sri Lanka,4-1 (5)
299,Pakistan in New Zealand ODI Series,2000/01,,New Zealand,3-2 (5)
300,England in Sri Lanka ODI Series,2000/01,,Sri Lanka,3-0 (3)
301,Australia in India ODI Series,2000/01,,Australia,3-2 (5)
302,Bangladesh in Zimbabwe ODI Series,2000/01,,Zimbabwe,3-0 (3)
303,"ARY Gold Cup (New Zealand, Pakistan, Sri Lanka in United Arab Emirates)",2000/01,,Sri Lanka,
304,South Africa in West Indies ODI Series,2000/01,,South Africa,5-2 (7)
305,"NatWest Series (Australia, England, Pakistan in England)",2001,,Australia,
306,"Coca-Cola Cup (Zimbabwe) (India, West Indies, Zimbabwe in Zimbabwe)",2001,,West Indies,
307,"Coca-Cola Cup (Sri Lanka) (India, New Zealand, Sri Lanka in Sri Lanka)",2001,,Sri Lanka,
308,West Indies in Kenya ODI Series,2001,,West Indies,3-0 (3)
309,South Africa in Zimbabwe ODI Series,2001/02,,South Africa,3-0 (3)
310,England in Zimbabwe ODI Series,2001/02,,England,5-0 (5)
311,"Standard Bank Triangular Tournament (India, Kenya, South Africa in South Africa)",2001/02,,South Africa,
312,"Khaleej Times Trophy (Pakistan, Sri Lanka, Zimbabwe in United Arab Emirates)",2001/02,,Pakistan,
313,Zimbabwe in Bangladesh ODI Series,2001/02,,Zimbabwe,3-0 (3)
314,"LG Abans Triangular Series (Sri Lanka, West Indies, Zimbabwe in Sri Lanka)",2001/02,,Sri Lanka,
315,Pakistan in Bangladesh ODI Series,2001/02,,Pakistan,3-0 (3)
316,England in India ODI Series,2001/02,,drawn,3-3 (6)
317,"VB Series (Australia, New Zealand, South Africa in Australia)",2001/02,,South Africa,
318,Pakistan v West Indies ODI Series (in United Arab Emirates),2001/02,,Pakistan,2-1 (3)
319,England in New Zealand ODI Series,2001/02,,New Zealand,3-2 (5)
320,Zimbabwe in India ODI Series,2001/02,,India,3-2 (5)
321,Australia in South Africa ODI Series,2001/02,,Australia,5-1 (7)
322,"Sharjah Cup (New Zealand, Pakistan, Sri Lanka in United Arab Emirates)",2001/02,,Pakistan,
323,New Zealand in Pakistan ODI Series,2002,,Pakistan,3-0 (3)
324,India in West Indies ODI Series,2002,,India,2-1 (5)
325,New Zealand in West Indies ODI Series,2002,,West Indies,3-1 (5)
326,Pakistan in Australia ODI Series,2002,,Pakistan,2-1 (3)
327,"NatWest Series (England, India, Sri Lanka in England)",2002,,India,
328,Bangladesh in Sri Lanka ODI Series,2002,,Sri Lanka,3-0 (3)
329,"Morocco Cup (Pakistan, South Africa, Sri Lanka)",2002,,Sri Lanka,
330,"PSO Tri-Nation Tournament (Australia, Kenya, Pakistan in Kenya)",2002,,shared,
331,ICC Champions Trophy (in Sri Lanka),2002/03,,shared,
332,Bangladesh in South Africa ODI Series,2002/03,,South Africa,3-0 (3)
333,West Indies in India ODI Series,2002/03,,West Indies,4-3 (7)
334,Pakistan in Zimbabwe ODI Series,2002/03,,Pakistan,5-0 (5)
335,West Indies in Bangladesh ODI Series,2002/03,,West Indies,2-0 (3)
336,Sri Lanka in South Africa ODI Series,2002/03,,South Africa,4-1 (5)
337,Kenya in Zimbabwe ODI Series,2002/03,,Zimbabwe,2-0 (3)
338,Pakistan in South Africa ODI Series,2002/03,,South Africa,4-1 (5)
339,India in New Zealand ODI Series,2002/03,,New Zealand,5-2 (7)
340,"VB Series (Australia, England, Sri Lanka in Australia)",2002/03,,Australia,
341,ICC World Cup (in Kenya/South Africa/Zimbabwe),2002/03,,Australia,
342,"Cherry Blossom Sharjah Cup (Kenya, Pakistan, Sri Lanka, Zimbabwe in United Arab Emirates)",2002/03,,Pakistan,
343,"TVS Cup (Bangladesh) (Bangladesh, India, South Africa in Bangladesh)",2003,,shared,
344,"Bank Alfalah Cup (New Zealand, Pakistan, Sri Lanka in Sri Lanka)",2003,,New Zealand,
