,Player,Span,Mat,Inns,Overs,Mdns,Runs,Wkts,BBI,Ave,Econ,SR,4,5,Unnamed: 14
30,NLTC Perera (ICC/SL/World),2010-2019,79,64,175.4,1,1628,51,3/24,31.92,9.26,20.6,0,0,
31,GP Swann (ENG),2008-2012,39,38,135.0,4,859,51,3/13,16.84,6.36,15.8,0,0,
32,MJ Santner (NZ),2015-2019,39,38,128.5,1,928,49,4/11,18.93,7.2,15.7,1,0,
33,SM Sharif (SCOT),2012-2019,42,41,143.5,0,1185,49,4/24,24.18,8.23,17.6,1,0,
34,SR Watson (AUS),2006-2016,58,49,155.0,2,1187,48,4/15,24.72,7.65,19.3,1,0,
35,M Morkel (SA/World),2007-2017,44,44,158.4,3,1191,47,4/17,25.34,7.5,20.2,2,0,
36,IS Sodhi (NZ),2014-2019,40,39,138.3,0,1131,47,3/18,24.06,8.16,17.6,0,0,
37,PA van Meekeren (NL),2013-2019,41,39,136.1,2,945,47,4/11,20.1,6.94,17.3,2,0,
38,Shadab Khan (PAK),2017-2019,38,36,135.3,1,948,46,4/14,20.6,6.99,17.6,1,0,
39,Bilal Khan (OMAN),2015-2019,32,31,111.0,2,778,45,4/19,17.28,7.0,14.8,3,0,
40,MRJ Watt (SCOT),2015-2019,35,33,125.0,2,903,45,5/27,20.06,7.22,16.6,0,1,
41,Abdur Razzak (BDESH),2006-2014,34,33,121.4,4,838,44,4/16,19.04,6.88,16.5,1,0,
42,Ahsan Malik (NL),2012-2017,31,29,95.5,1,730,44,5/19,16.59,7.61,13.0,1,1,
43,DJG Sammy (WI/World),2007-2017,68,59,152.4,0,1116,44,5/26,25.36,7.31,20.8,1,1,
44,Mudassar Bukhari (NL),2008-2016,38,35,117.2,4,780,43,4/7,18.13,6.64,16.3,3,0,
45,KD Mills (NZ),2005-2014,42,42,149.3,1,1228,43,3/26,28.55,8.21,20.8,0,0,
46,Imad Wasim (PAK),2015-2019,41,40,147.0,3,877,42,5/14,20.88,5.96,21.0,1,1,
47,Mashrafe Mortaza (BDESH),2006-2017,54,53,189.5,1,1527,42,4/19,36.35,8.04,27.1,1,0,
48,B Kumar (INDIA),2012-2019,43,43,154.2,2,1088,41,5/24,26.53,7.04,22.5,0,1,
49,WD Parnell (SA),2009-2017,40,39,124.5,3,1038,41,4/13,25.31,8.31,18.2,1,0,
0,KOK Williams (WI),2016-2019,24,24,86.5,2,724,41,4/28,17.65,8.33,12.7,1,0,
1,Al-Amin Hossain (BDESH),2013-2019,28,26,91.2,0,673,40,3/20,16.82,7.36,13.7,0,0,
2,Dawlat Zadran (AFG),2012-2019,34,34,123.3,2,980,40,4/44,24.5,7.93,18.5,1,0,
3,T van der Gugten (NL),2012-2019,39,38,118.5,0,847,40,3/9,21.17,7.12,17.8,0,0,
4,TA Boult (NZ),2013-2019,27,27,98.5,1,854,39,4/34,21.89,8.64,15.2,1,0,
5,JW Dernbach (ENG),2011-2014,34,33,117.0,1,1020,39,4/22,26.15,8.71,18.0,1,0,
6,AU Rashid (ENG),2009-2019,40,38,133.0,1,1000,39,3/11,25.64,7.51,20.4,0,0,
7,Rohan Mustafa (UAE),2014-2019,38,36,113.5,2,774,39,4/18,19.84,6.79,17.5,1,0,
8,MA Starc (AUS),2012-2019,28,28,106.3,1,718,39,3/11,18.41,6.74,16.3,0,0,
9,MG Johnson (AUS),2007-2013,30,30,109.2,2,797,38,3/15,20.97,7.28,17.2,0,0,
10,HH Pandya (INDIA),2016-2019,40,39,116.5,1,976,38,4/38,25.68,8.35,18.4,1,0,
11,DL Vettori (NZ),2007-2014,34,34,131.1,1,748,38,4/20,19.68,5.7,20.7,1,0,
12,J Botha (SA),2006-2012,40,39,129.0,1,823,37,3/16,22.24,6.37,20.9,0,0,
13,Kuldeep Yadav (INDIA),2017-2019,19,19,71.3,1,499,37,5/24,13.48,6.97,11.5,1,1,
14,AD Mathews (SL),2009-2018,72,57,161.3,4,1101,37,3/16,29.75,6.81,26.1,0,0,
15,Mohammad Naveed (UAE),2015-2019,31,31,114.4,5,729,37,3/14,19.7,6.35,18.5,0,0,
16,AJ Tye (AUS),2016-2018,26,25,91.5,1,815,37,4/23,22.02,8.87,14.8,1,0,
17,AC Evans (SCOT),2015-2019,27,25,93.0,4,689,36,5/24,19.13,7.4,15.5,0,1,
18,JP Faulkner (AUS),2012-2017,24,24,85.5,0,684,36,5/27,19.0,7.96,14.3,0,1,
19,AG Cremer (ZIM),2008-2018,29,28,95.0,1,660,35,3/11,18.85,6.94,16.2,0,0,
20,AR Cusack (IRE),2008-2015,37,33,101.0,3,714,35,4/11,20.4,7.06,17.3,3,0,
21,Hasan Ali (PAK),2016-2019,30,30,103.3,3,877,35,3/23,25.05,8.47,17.7,0,0,
22,RA Jadeja (INDIA),2009-2019,46,46,152.1,4,1093,35,3/48,31.22,7.18,26.0,0,0,
23,SO Ngoche (KENYA),2010-2019,28,28,94.0,0,637,35,4/14,18.2,6.77,16.1,2,0,
24,Shapoor Zadran (AFG),2010-2018,34,34,107.5,3,843,35,3/40,24.08,7.81,18.4,0,0,
25,N Vanua (PNG),2015-2019,25,25,81.4,3,505,35,5/17,14.42,6.18,14.0,1,1,
26,Aizaz Khan (HKG),2014-2019,30,30,99.2,2,692,34,3/10,20.35,6.96,17.5,0,0,
27,NM Coulter-Nile (AUS),2013-2019,28,27,97.0,1,802,34,4/31,23.58,8.26,17.1,1,0,
28,CH Morris (SA),2012-2019,23,23,83.0,3,697,34,4/27,20.5,8.39,14.6,1,0,
29,A Nehra (INDIA),2009-2017,27,27,98.0,2,758,34,3/19,22.29,7.73,17.2,0,0,
30,DJ Willey (ENG),2015-2019,28,28,92.5,0,761,34,4/7,22.38,8.19,16.3,1,0,
31,Amjad Javed (UAE),2014-2017,22,22,74.2,1,560,33,3/12,16.96,7.53,13.5,0,0,
32,Karan KC (NEPAL),2015-2019,25,25,82.3,0,631,33,4/17,19.12,7.64,15.0,2,0,
33,JE Taylor (WI),2006-2018,30,30,100.0,2,863,33,3/6,26.15,8.63,18.1,0,0,
34,PJ Cummins (AUS),2011-2019,25,25,95.0,3,644,32,3/15,20.12,6.77,17.8,0,0,
35,Hamid Hassan (AFG),2010-2016,22,22,79.4,2,523,32,4/22,16.34,6.56,14.9,1,0,
36,DT Johnston (IRE),2008-2013,30,28,99.0,5,636,32,4/22,19.87,6.42,18.5,1,0,
37,SC Williams (ZIM),2006-2019,38,37,123.0,0,890,32,3/15,27.81,7.23,23.0,0,0,
38,CR Brathwaite (WI),2011-2019,41,39,118.1,1,1013,31,3/20,32.67,8.57,22.8,0,0,
39,Mahmudullah (BDESH),2007-2019,83,54,117.5,2,861,31,3/18,27.77,7.3,22.8,0,0,
40,CB Mpofu (ZIM),2008-2019,30,30,107.5,0,950,31,4/30,30.64,8.8,20.8,1,0,
41,SS Cottrell (WI),2014-2019,22,22,76.0,2,615,30,4/28,20.5,8.09,15.2,1,0,
42,MJ McClenaghan (ICC/NZ),2012-2018,29,29,101.2,2,789,30,3/17,26.3,7.78,20.2,0,0,
43,Wahab Riaz (PAK),2008-2019,31,30,101.3,2,813,30,3/18,27.1,8.0,20.3,0,0,
44,Amir Hamza (AFG),2013-2017,31,31,106.0,2,716,29,3/39,24.68,6.75,21.9,0,0,
45,Khawar Ali (OMAN),2015-2019,29,27,82.0,0,534,29,4/16,18.41,6.51,16.9,1,0,
46,AL Phehlukwayo (SA),2017-2019,23,22,69.5,0,550,29,4/24,18.96,7.87,14.4,1,0,
47,R Rampaul (WI),2007-2015,23,23,82.5,1,705,29,3/16,24.31,8.51,17.1,0,0,
48,BD Glover (NL),2019-2019,19,19,65.0,0,448,28,4/12,16.0,6.89,13.9,2,0,
49,RM Haq (SCOT),2007-2013,21,20,75.0,1,472,28,3/20,16.85,6.29,16.0,0,0,
0,KM Jarvis (ZIM),2011-2019,22,22,74.4,0,665,28,3/15,23.75,8.9,16.0,0,0,
1,S Lamichhane (ICC/NEPAL),2018-2019,18,18,64.0,0,439,28,4/20,15.67,6.85,13.7,1,0,
2,B Lee (AUS),2005-2012,25,25,90.5,0,714,28,3/23,25.5,7.86,19.4,0,0,
3,DP Nannes (AUS/NL),2009-2010,17,16,61.0,2,459,28,4/18,16.39,7.52,13.0,1,0,
4,IK Pathan (INDIA),2006-2012,24,23,77.0,1,618,28,3/16,22.07,8.02,16.5,0,0,
5,KA Pollard (WI),2008-2019,68,44,97.0,0,830,28,3/30,29.64,8.55,20.7,0,0,
6,K Rabada (SA),2014-2019,21,21,77.2,0,648,28,3/30,23.14,8.37,16.5,0,0,
7,Rubel Hossain (BDESH),2009-2018,27,26,94.3,0,879,28,3/31,31.39,9.3,20.2,0,0,
8,Samiullah Shinwari (AFG),2010-2019,62,38,105.4,0,688,28,5/13,24.57,6.51,22.6,1,1,
9,Shoaib Malik (ICC/PAK),2006-2019,111,46,90.0,0,644,28,2/7,23.0,7.15,19.2,0,0,
10,SW Tait (AUS),2007-2016,21,21,79.4,2,589,28,3/13,21.03,7.39,17.0,0,0,
11,Yuvraj Singh (INDIA),2007-2017,58,31,70.4,0,499,28,3/17,17.82,7.06,15.1,0,0,
12,A Zampa (AUS),2016-2019,27,26,93.0,1,572,28,3/14,20.42,6.15,19.9,0,0,
13,MR Adair (IRE),2019-2019,17,17,62.5,2,413,27,4/40,15.29,6.57,13.9,1,0,
14,HS Baidwan (CAN),2008-2013,17,17,53.5,1,411,27,4/19,15.22,7.63,11.9,1,0,
15,RD Berrington (SCOT),2008-2019,61,37,81.2,0,609,27,3/17,22.55,7.48,18.0,0,0,
16,ST Finn (ENG),2011-2015,21,21,80.0,0,583,27,3/16,21.59,7.28,17.7,0,0,
17,B Stanlake (AUS),2017-2019,19,19,70.0,2,544,27,4/8,20.14,7.77,15.5,1,0,
18,KJ Abbott (SA),2013-2016,21,21,72.4,0,579,26,3/20,22.26,7.96,16.7,0,0,
19,Iqbal Hussain (QAT),2019-2019,15,15,52.1,0,426,26,4/33,16.38,8.16,12.0,1,0,
20,GJ Maxwell (AUS),2012-2019,61,40,94.0,0,704,26,3/10,27.07,7.48,21.6,0,0,
21,JA Morkel (SA),2005-2015,50,46,107.5,2,864,26,3/12,33.23,8.01,24.8,0,0,
22,Sompal Kami (NEPAL),2014-2019,28,28,90.0,1,644,26,3/23,24.76,7.15,20.7,0,0,
23,MC Sorensen (IRE),2012-2016,26,22,65.0,2,471,26,3/17,18.11,7.24,15.0,0,0,
24,P Utseya (ZIM),2006-2015,35,35,124.5,2,858,26,3/25,33.0,6.87,28.8,0,0,
25,SE Bond (NZ),2005-2010,20,20,77.3,2,543,25,3/18,21.72,7.0,18.6,0,0,
26,TL Chatara (ZIM),2010-2019,21,21,75.0,1,591,25,3/20,23.64,7.88,18.0,0,0,
27,Harbhajan Singh (INDIA),2006-2016,28,27,102.0,5,633,25,4/12,25.32,6.2,24.4,1,0,
28,AF Milne (NZ),2010-2018,21,21,72.5,1,541,25,4/37,21.64,7.42,17.4,1,0,
29,Nadeem Ahmed (HKG),2014-2017,24,24,82.3,3,546,25,4/21,21.84,6.61,19.8,1,0,
30,LE Plunkett (ENG),2006-2019,22,22,79.2,1,627,25,3/21,25.08,7.9,19.0,0,0,
31,B Regmi (NEPAL),2014-2019,18,18,62.1,0,405,25,4/16,16.2,6.51,14.9,1,0,
32,AD Russell (WI),2011-2018,47,40,99.1,0,908,25,2/10,36.32,9.15,23.8,0,0,
33,SMSM Senanayake (SL),2012-2016,24,23,81.0,0,549,25,4/46,21.96,6.77,19.4,1,0,
34,DG Blampied (JER),2019-2019,17,17,61.4,1,395,24,4/20,16.45,6.4,15.4,1,0,
35,TT Bresnan (ENG),2006-2014,34,34,110.3,1,887,24,3/10,36.95,8.02,27.6,0,0,
36,JH Davey (SCOT),2012-2019,21,20,74.4,0,610,24,4/34,25.41,8.16,18.6,1,0,
37,Faheem Ashraf (PAK),2017-2019,27,26,74.3,1,557,24,3/5,23.2,7.47,18.6,0,0,
38,Haseeb Amjad (HKG),2014-2016,18,18,61.2,3,453,24,4/16,18.87,7.38,15.3,1,0,
39,Karim Janat (AFG),2016-2019,21,21,73.0,0,614,24,5/11,25.58,8.41,18.2,0,1,
40,N Nipiko (VAN),2019-2019,14,13,39.2,0,311,24,5/19,12.95,7.9,9.8,2,1,
41,KMA Paul (WI),2018-2019,18,18,65.0,0,540,24,5/15,22.5,8.3,16.2,0,1,
42,RJ Peterson (SA),2006-2014,21,19,59.5,1,451,24,3/28,18.79,7.53,14.9,0,0,
43,D Ravu (PNG),2019-2019,17,16,42.1,0,221,24,5/15,9.2,5.24,10.5,1,1,
44,D Wiese (SA),2013-2016,20,20,65.2,0,497,24,5/23,20.7,7.6,16.3,0,1,
45,IG Butler (NZ),2009-2013,19,18,59.4,1,481,23,3/19,20.91,8.06,15.5,0,0,
46,CO Obuya (KENYA),2007-2019,35,18,52.2,0,334,23,4/27,14.52,6.38,13.6,1,0,
47,RJ Sidebottom (ENG),2007-2010,18,18,61.1,0,437,23,3/16,19.0,7.14,15.9,0,0,
48,I Udana (SL),2009-2019,27,26,85.1,1,725,23,3/11,31.52,8.51,22.2,0,0,
49,CA Young (IRE),2015-2019,26,25,77.0,1,635,23,4/13,27.6,8.24,20.0,1,0,
0,Aamir Kaleem (OMAN),2015-2019,25,20,54.0,0,388,22,5/15,17.63,7.18,14.7,2,1,
1,A Dananjaya (SL),2012-2019,22,22,79.4,1,620,22,3/36,28.18,7.78,21.7,0,0,
2,Mohammad Nadeem (OMAN),2015-2019,22,22,68.0,0,445,22,4/23,20.22,6.54,18.5,1,0,
3,MN Samuels (WI),2007-2018,67,30,79.5,0,622,22,3/23,28.27,7.79,21.7,0,0,
4,BM Scholtz (NAM),2019-2019,14,14,53.0,0,285,22,4/12,12.95,5.37,14.4,1,0,
5,AC Botha (IRE),2008-2010,14,10,34.0,0,184,21,3/14,8.76,5.41,9.7,0,0,
6,JP Duminy (SA),2007-2019,81,41,77.1,0,599,21,3/18,28.52,7.76,22.0,0,0,
7,JN Frylinck (NAM),2019-2019,14,13,42.1,0,240,21,4/21,11.42,5.69,12.0,1,0,
8,Mohammad Sami (PAK),2010-2016,13,13,46.0,0,387,21,3/16,18.42,8.41,13.1,0,0,
9,Abdul Razzaq (PAK),2006-2013,32,22,56.3,2,395,20,3/13,19.75,6.99,16.9,0,0,
10,Ahmed Raza (UAE),2014-2019,36,35,120.2,1,779,20,2/18,38.95,6.47,36.1,0,0,
11,DAJ Bracewell (NZ),2011-2019,18,16,47.4,0,437,20,3/25,21.85,9.16,14.3,0,0,
12,JEC Franklin (NZ),2006-2013,38,26,54.3,0,417,20,4/15,20.85,7.65,16.3,1,0,
13,FJ Klaassen (NL),2018-2019,21,20,69.1,0,581,20,3/31,29.05,8.4,20.7,0,0,
14,Mujeeb Ur Rahman (AFG),2018-2019,16,16,60.0,0,324,20,4/15,16.2,5.4,18.0,1,0,
15,T Panyangara (ZIM),2013-2016,14,14,50.3,1,398,20,4/37,19.9,7.88,15.1,1,0,
16,CW Perchard (JER),2019-2019,15,13,46.5,0,275,20,5/17,13.75,5.87,14.0,1,1,
17,AM Phangiso (SA),2012-2018,16,16,57.0,0,443,20,3/25,22.15,7.77,17.1,0,0,
18,A Vala (PNG),2015-2019,26,16,44.5,1,249,20,3/7,12.45,5.55,13.4,0,0,
19,C Viljoen (NAM),2019-2019,12,12,37.1,0,236,20,5/9,11.8,6.34,11.1,1,1,
20,Zahoor Khan (UAE),2017-2019,18,18,59.3,0,442,20,2/17,22.1,7.42,17.8,0,0,
21,CJA Amini (PNG),2015-2019,23,21,63.1,0,367,19,2/13,19.31,5.81,19.9,0,0,
22,Amjad Mahboob (SGP),2019-2019,11,11,37.4,1,317,19,3/20,16.68,8.41,11.8,0,0,
23,NW Bracken (AUS),2006-2009,19,19,62.5,2,438,19,3/11,23.05,6.97,19.8,0,0,
24,D Heyliger (CAN),2019-2019,11,11,42.0,0,306,19,4/16,16.1,7.28,13.2,2,0,
25,DJ Hussey (AUS),2008-2012,39,25,60.1,1,392,19,3/25,20.63,6.51,19.0,0,0,
26,ST Jayasuriya (SL),2006-2011,31,24,61.5,0,456,19,3/21,24.0,7.37,19.5,0,0,
27,JDP Oram (NZ),2005-2012,36,32,91.0,0,793,19,3/33,41.73,8.71,28.7,0,0,
28,N Pokana (PNG),2016-2019,19,18,56.5,2,328,19,3/21,17.26,5.77,17.9,0,0,
29,Shoaib Akhtar (PAK),2006-2010,15,15,53.0,3,432,19,3/38,22.73,8.15,16.7,0,0,
30,Tanwir Afzal (HKG),2014-2016,21,21,71.0,2,509,19,2/8,26.78,7.16,22.4,0,0,
31,JM Anderson (ENG),2007-2009,19,19,70.2,1,552,18,3/23,30.66,7.84,23.4,0,0,
32,SJ Benn (WI),2008-2016,24,24,84.0,3,606,18,4/6,33.66,7.21,28.0,1,0,
33,PW Borren (NL),2008-2017,43,30,87.4,0,603,18,2/19,33.5,6.87,29.2,0,0,
34,Fareed Ahmad (AFG),2016-2019,14,14,47.5,0,405,18,3/35,22.5,8.46,15.9,0,0,
35,CRD Fernando (SL),2006-2016,18,18,63.0,3,464,18,3/19,25.77,7.36,21.0,0,0,
36,Hamza Tahir (SCOT),2018-2019,11,11,43.0,1,352,18,4/30,19.55,8.18,14.3,1,0,
37,BE Hendricks (SA),2014-2019,11,11,38.1,0,317,18,4/14,17.61,8.3,12.7,1,0,
38,HMRKB Herath (SL),2011-2016,17,17,60.5,3,373,18,5/3,20.72,6.13,20.2,0,1,
39,Izatullah Dawlatzai (AFG/GER),2012-2019,14,14,50.4,0,345,18,3/23,19.16,6.8,16.8,0,0,
40,MA Leask (SCOT),2013-2019,31,22,59.3,0,499,18,3/20,27.72,8.38,19.8,0,0,
41,Nouman Sarwar (QAT),2019-2019,14,13,34.5,1,267,18,4/14,14.83,7.66,11.6,1,0,
42,K Santokie (WI),2011-2014,12,12,40.5,0,278,18,4/21,15.44,6.8,13.6,1,0,
43,SB Styris (NZ),2005-2010,31,21,51.3,0,349,18,3/5,19.38,6.77,17.1,0,0,
44,SR Thompson (IRE),2014-2019,41,30,79.0,0,670,18,4/18,37.22,8.48,26.3,1,0,
45,LL Tsotsobe (SA),2009-2014,23,23,78.0,2,541,18,3/16,30.05,6.93,26.0,0,0,
46,HA Varaiya (KENYA),2007-2013,25,24,77.2,2,461,18,2/10,25.61,5.96,25.7,0,0,
47,LJ Wright (ENG),2007-2014,51,23,55.0,0,465,18,2/24,25.83,8.45,18.3,0,0,
48,Zeeshan Maqsood (OMAN),2015-2019,29,19,62.0,0,416,18,4/7,23.11,6.7,20.6,1,0,
49,AC Agar (AUS),2016-2019,21,21,67.0,1,464,17,3/27,27.29,6.92,23.6,0,0,
0,DL Chahar (INDIA),2018-2019,10,10,35.5,1,251,17,6/7,14.76,7.0,12.6,0,1,
1,AB Dinda (INDIA),2009-2012,9,9,30.0,1,245,17,4/19,14.41,8.16,10.5,1,0,
2,CH Gayle (WI),2006-2019,58,23,53.1,0,377,17,2/15,22.17,7.09,18.7,0,0,
3,Z Khan (INDIA),2006-2012,17,17,58.4,0,448,17,4/19,26.35,7.63,20.7,1,0,
4,CK Langeveldt (SA),2005-2010,9,9,33.0,0,241,17,4/19,14.17,7.3,11.6,1,0,
5,R McLaren (SA),2009-2014,12,12,43.5,0,332,17,5/19,19.52,7.57,15.4,0,1,
6,EJB Miles (JER),2019-2019,14,14,40.0,0,266,17,3/10,15.64,6.65,14.1,0,0,
7,KW Richardson (AUS),2014-2019,15,15,56.0,0,447,17,3/18,26.29,7.98,19.7,0,0,
8,Saad Bin Zafar (CAN),2019-2019,11,11,43.0,2,285,17,3/8,16.76,6.62,15.1,0,0,
9,SPD Smith (AUS),2010-2019,36,17,48.3,1,377,17,3/20,22.17,7.77,17.1,0,0,
10,A Bohara (NEPAL),2019-2019,17,16,54.0,0,350,16,4/35,21.87,6.48,20.2,1,0,
11,RS Bopara (ENG),2008-2014,38,21,53.4,1,387,16,4/10,24.18,7.21,20.1,1,0,
12,PVD Chameera (SL),2015-2018,19,19,67.1,0,574,16,3/30,35.87,8.54,25.1,0,0,
13,E Chigumbura (ZIM),2006-2019,54,21,46.0,0,427,16,4/31,26.68,9.28,17.2,1,0,
14,PD Collingwood (ENG/World),2005-2017,36,20,39.0,0,347,16,4/22,21.68,8.89,14.6,1,0,
15,TK Curran (ENG),2017-2019,15,15,48.0,1,418,16,4/36,26.12,8.7,18.0,1,0,
16,GJ Delany (IRE),2019-2019,17,17,53.0,1,391,16,2/23,24.43,7.37,19.8,0,0,
17,GD Drummond (SCOT),2008-2013,17,17,55.0,1,381,16,3/20,23.81,6.92,20.6,0,0,
18,FH Edwards (WI),2007-2012,20,20,60.0,0,497,16,3/23,31.06,8.28,22.5,0,0,
19,Gulbadin Naib (AFG),2012-2019,45,28,68.0,0,560,16,2/24,35.0,8.23,25.5,0,0,
20,A Mishra (INDIA),2010-2017,10,10,38.0,1,240,16,3/24,15.0,6.31,14.2,0,0,
21,Mohammad Irfan (PAK),2012-2019,22,22,75.3,0,562,16,2/18,35.12,7.44,28.3,0,0,
22,NN Odhiambo (KENYA),2007-2013,24,21,56.1,1,468,16,5/20,29.25,8.33,21.0,0,1,
23,JS Patel (NZ),2005-2008,11,10,33.1,1,269,16,3/20,16.81,8.11,12.4,0,0,
24,Shafiul Islam (BDESH),2010-2019,17,17,56.4,1,459,16,3/36,28.68,8.1,21.2,0,0,
25,JJ Smit (NAM),2019-2019,12,10,37.1,0,234,16,3/19,14.62,6.29,13.9,0,0,
26,PR Stirling (IRE),2009-2019,72,33,78.0,1,600,16,3/21,37.5,7.69,29.2,0,0,
27,Yasir Arafat (PAK),2007-2012,13,13,39.2,0,316,16,3/18,19.75,8.03,14.7,0,0,
28,RG Aga (KENYA),2008-2013,20,19,48.0,1,306,15,3/24,20.4,6.37,19.2,0,0,
29,MM Ali (ENG),2014-2018,25,22,60.2,0,519,15,2/21,34.6,8.6,24.1,0,0,
30,PKD Chase (IRE),2018-2019,12,12,41.5,0,416,15,4/35,27.73,9.94,16.7,1,0,
31,N Pradeep (SL),2016-2019,14,14,44.1,0,407,15,4/25,27.13,9.21,17.6,1,0,
32,Janak Prakash (SGP),2019-2019,12,12,41.4,1,309,15,3/15,20.6,7.41,16.6,0,0,
33,SM Pollock (SA),2005-2008,12,11,40.3,1,309,15,3/28,20.6,7.62,16.2,0,0,
34,MJG Rippon (NL),2013-2018,18,17,50.4,2,310,15,3/8,20.66,6.11,20.2,0,0,
35,Simi Singh (IRE),2018-2019,18,18,43.2,0,344,15,3/15,22.93,7.93,17.3,0,0,
36,RP Singh (INDIA),2007-2009,10,9,33.0,0,225,15,4/13,15.0,6.81,13.2,1,0,
37,Sultan Ahmed (UAE),2017-2019,17,17,55.0,3,365,15,3/33,24.33,6.63,22.0,0,0,
38,Washington Sundar (INDIA),2017-2019,18,18,63.0,1,417,15,3/22,27.8,6.61,25.2,0,0,
39,Ahmed Wardak (GER),2019-2019,9,8,27.5,0,170,14,4/20,12.14,6.1,11.9,1,0,
40,CJ Anderson (NZ),2012-2018,31,21,60.0,0,495,14,2/17,35.35,8.25,25.7,0,0,
41,CJ Chibhabha (ZIM),2006-2018,33,22,53.5,0,455,14,3/18,32.5,8.45,23.0,0,0,
42,Ehsan Khan (HKG),2016-2019,15,15,54.4,0,325,14,3/32,23.21,5.94,23.4,0,0,
43,GD Elliott (NZ/World),2009-2017,17,15,32.0,0,235,14,4/22,16.78,7.34,13.7,1,0,
44,LH Ferguson (NZ),2017-2019,8,8,31.0,0,222,14,3/21,15.85,7.16,13.2,0,0,
45,AW Hawkins-Kay (JER),2019-2019,16,15,36.0,0,266,14,4/14,19.0,7.38,15.4,1,0,
46,Karim Sadiq (AFG),2010-2018,36,28,70.0,0,482,14,3/17,34.42,6.88,30.0,0,0,
47,Mirwais Ashraf (AFG),2010-2016,25,22,65.2,1,444,14,2/6,31.71,6.79,28.0,0,0,
48,E Otieno (KENYA),2012-2019,18,18,50.5,1,370,14,3/16,26.42,7.27,21.7,0,0,
49,KH Pandya (INDIA),2018-2019,18,18,66.2,1,538,14,4/36,38.42,8.11,28.4,1,0,
0,Sami Sohail (MWI),2019-2019,7,7,26.0,3,164,14,4/18,11.71,6.3,11.1,1,0,
